# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
31391at8509	Complete	group13	69978513	70011880	+	18460	2623
13283at8509	Complete	group12	85181082	85367310	-	22900	5598
22203at8509	Complete	group2	154575858	154698923	-	26062	5493
29468at8509	Complete	group1	142341580	142490919	-	25133	5149
32412at8509	Complete	group1	104264728	104420965	+	24327	5029
58813at8509	Complete	group7	96945029	97085843	+	15817	4706
29242at8509	Complete	group8	19778912	20001442	+	25401	4915
30273at8509	Complete	group8	28555690	28715382	+	23910	4851
30740at8509	Complete	group1	75763294	75805265	-	24273	4848
20966at8509	Complete	group4	119533974	119654183	-	24191	4833
37330at8509	Complete	group12	78271334	78384848	+	23386	4806
56752at8509	Complete	group1	163754648	163799293	-	15641	4585
4768at8509	Complete	group2	49344564	49506996	-	23807	4380
42969at8509	Complete	group5	57363169	57464635	-	10797	4664
8129at8509	Complete	group5	97284336	97346246	+	23631	4638
895at8509	Complete	group14	28266139	28619881	-	24422	4618
21592at8509	Complete	group4	83466747	83609363	+	23902	4424
15558at8509	Complete	group11	53565862	53683060	+	22819	4584
23389at8509	Complete	group2	112856892	112912260	+	15440	4460
15079at8509	Complete	group4	53673394	53699188	+	23489	4576
50084at8509	Complete	group1	166552806	166576405	+	21349	4466
49281at8509	Complete	group12	43090612	43316432	+	19062	4469
18848at8509	Complete	group6	8749449	8907376	+	21855	4460
42563at8509	Complete	group14	37309726	37394238	+	21348	4355
40822at8509	Complete	group6	62359064	62442563	-	17174	4365
14943at8509	Complete	group1	111650198	111710507	+	19881	4272
23723at8509	Complete	group6	78282471	78485703	-	20201	4214
54690at8509	Complete	group1	19984850	19997336	-	15833	3676
22157at8509	Complete	group3	51393012	51471446	+	17099	4121
24414at8509	Complete	group1	128334157	128407950	-	19783	4042
54545at8509	Complete	group12	21328585	21456354	-	12416	3688
55775at8509	Complete	group1	18271525	18306651	-	17506	3597
41965at8509	Complete	group2	19165522	19272600	+	10939	1859
20375at8509	Complete	group1	127297768	127355563	+	17728	3642
17382at8509	Complete	group8	71587349	71744507	-	18207	3546
47729at8509	Complete	group2	5579242	5742571	-	14010	3476
50720at8509	Complete	group2	47769183	48096123	+	10737	3402
44887at8509	Complete	group1	140994138	141031311	-	15672	3162
20617at8509	Complete	group5	14819240	14930945	-	11889	3364
6215at8509	Complete	group13	65661838	65976104	+	17223	2885
19234at8509	Complete	group1	163697047	163724727	+	15758	3226
57343at8509	Complete	group13	718516	766705	-	8043	3201
27780at8509	Complete	group10	72419839	72544361	-	14202	3173
38591at8509	Complete	group6	92533974	92648433	+	14736	3039
51308at8509	Complete	group3	145935289	145959880	-	10564	2352
55453at8509	Complete	group2	85456158	85562214	-	11702	3149
32830at8509	Complete	group11	37109092	37176290	+	15578	3057
56839at8509	Complete	group4	13341568	13380288	-	6371	2493
34755at8509	Complete	group2	147081968	147216078	-	13984	3114
29609at8509	Complete	group11	79732830	79867296	+	14745	3005
25006at8509	Complete	group2	168751695	168828790	-	15047	3066
19698at8509	Complete	group3	61540243	61662148	-	15085	3066
26865at8509	Complete	group1	69560244	69635162	+	14049	3048
19389at8509	Complete	group1	70124425	70229833	-	15047	1702
22570at8509	Complete	group3	105709824	106009585	-	15680	3028
28398at8509	Complete	group4	111898623	111935759	-	14449	2937
24752at8509	Complete	group4	49996372	50150397	-	14835	2996
48778at8509	Complete	group3	46080214	46224453	-	15381	3002
18237at8509	Complete	group10	54277155	54360663	+	15002	2990
55479at8509	Complete	group14	3310424	3416857	+	14342	2877
41669at8509	Complete	group9	37096858	37218709	-	15240	2755
28947at8509	Complete	group1	23538004	23576016	-	13078	2872
50719at8509	Complete	group11	92997611	93083955	-	12159	3052
55441at8509	Complete	group13	18581297	18705758	-	11191	2852
45165at8509	Complete	group9	97869251	97918575	+	9403	2817
48062at8509	Complete	group10	50487823	50553630	+	13993	2825
4794at8509	Complete	group11	55628788	55994329	-	14734	2809
43858at8509	Complete	group13	39766681	39841340	-	11290	2775
44256at8509	Complete	group3	28233875	28313928	+	14384	2791
36180at8509	Complete	group10	12907326	13005874	+	13515	2761
47713at8509	Complete	group3	63495256	63641376	-	13338	2674
42034at8509	Complete	group9	60813809	60907793	+	12305	2757
94at8509	Complete	group1	67719978	67864675	+	15179	2727
57739at8509	Complete	group3	127961984	128038680	+	13239	2710
42149at8509	Complete	group4	122275949	122293339	-	12423	2570
54550at8509	Complete	group1	19518703	19551335	+	11393	2697
25933at8509	Complete	group2	152891687	152922400	+	10666	2701
25052at8509	Complete	group5	90134452	90278778	+	13139	2704
12867at8509	Complete	group18	18653780	18987033	+	14133	2703
38200at8509	Complete	group6	105747799	106000967	-	13928	2687
58291at8509	Complete	group3	82403915	82483149	-	9594	2623
61046at8509	Complete	group1	54498128	54513962	+	11019	2803
13011at8509	Complete	group6	36735748	37257566	+	13510	2597
57776at8509	Complete	group9	59934601	59977308	+	7745	2571
15449at8509	Complete	group9	39504014	39620302	+	13146	2663
8770at8509	Complete	group14	38708405	38788953	+	13610	2645
18368at8509	Complete	group7	62629772	62687384	-	11169	2646
51675at8509	Complete	group1	97001341	97051727	+	13131	2609
25146at8509	Complete	group6	70683205	70745864	+	9912	2633
42199at8509	Complete	group10	26318765	26395911	+	9013	2293
8689at8509	Complete	group6	91883865	91973995	+	13501	2622
28619at8509	Complete	group9	23405773	23485749	+	12772	2582
38809at8509	Complete	group5	132886785	132936390	-	7870	2236
52943at8509	Complete	group8	48025722	48060493	-	4801	2626
24472at8509	Complete	group7	67721322	67741963	-	11627	2423
52395at8509	Complete	group1	143885110	143914268	-	8623	2601
34045at8509	Complete	group5	52630486	52679860	+	9964	2510
36697at8509	Complete	group3	118417933	118535060	+	12350	2462
41913at8509	Complete	group4	10295089	10395676	+	8847	2590
31054at8509	Complete	group5	70917807	70981134	-	13061	2558
49422at8509	Complete	group8	29308907	29343176	-	8967	2043
11405at8509	Complete	group4	4014312	4123444	+	13483	2548
58215at8509	Complete	group13	27123790	27217503	+	12402	2506
16406at8509	Complete	group1	140532737	140597607	+	13061	2519
38327at8509	Complete	group1	169951128	169977858	-	12008	2540
55305at8509	Complete	group1	152353529	152463778	+	13649	2498
40786at8509	Complete	group12	81148431	81155994	+	7874	2446
38907at8509	Complete	group1	107070133	107095205	+	12086	2488
15236at8509	Complete	group3	135602218	135759545	+	12789	1472
11272at8509	Complete	group6	9918375	9959718	-	12509	2504
51430at8509	Complete	group1	19746793	19805681	+	10133	2117
26884at8509	Complete	group1	147228175	147262103	+	10203	2397
21681at8509	Complete	group14	73069078	73162659	+	12137	2483
52051at8509	Complete	group1	101525165	101572692	-	12019	2433
9412at8509	Complete	group8	8354272	8437167	+	10273	2459
33270at8509	Complete	group13	63816482	63922368	+	9797	2415
52146at8509	Complete	group5	34703782	35043519	-	11572	2461
52500at8509	Complete	group13	36433944	36541884	+	12941	2428
34281at8509	Complete	group4	31688345	31813103	-	5375	2285
46357at8509	Duplicated	group17	38699241	38762527	+	11881	2386
46357at8509	Duplicated	ptg000075l	332054	517326	+	11452	2386
12709at8509	Complete	group2	83180288	83285319	-	11037	2410
41789at8509	Complete	group6	28938505	29243192	+	11793	2464
22508at8509	Complete	group2	151078421	151128817	+	11559	2462
53915at8509	Complete	group1	95415252	95460507	+	8617	2414
60528at8509	Complete	group9	92799700	92847710	-	11844	2399
49713at8509	Complete	group6	5672812	5722039	+	11267	2431
47557at8509	Complete	group13	45123331	45188074	+	9821	2430
58395at8509	Complete	group1	134386399	134426945	-	10338	2421
58359at8509	Complete	group19	6166453	6252478	+	8238	1907
27268at8509	Complete	group1	53708141	53751742	+	8362	2404
46014at8509	Complete	group1	109499756	109529276	+	11690	2362
50258at8509	Complete	group16	38504467	38628524	-	10028	2249
24488at8509	Complete	group1	38322104	38379400	-	10092	2367
34049at8509	Complete	group2	188025091	188050523	-	10335	2436
34661at8509	Complete	group7	115934660	115976052	-	9920	2323
50975at8509	Complete	group10	31668405	31746283	-	9823	2341
2046at8509	Complete	group6	26413827	26499670	+	12436	2357
48163at8509	Complete	group13	50197374	50456553	-	11615	2386
37247at8509	Complete	group1	74014284	74057198	+	8756	2331
26018at8509	Complete	group1	180059590	180134923	+	10967	2320
50843at8509	Complete	group3	137535996	137598125	-	10392	2364
49583at8509	Complete	group2	37161745	37214284	+	6396	2278
27472at8509	Complete	group12	63196744	63276674	+	9370	2291
18888at8509	Complete	group8	66804279	66939864	+	11950	2351
52751at8509	Complete	group1	152476721	152541273	+	6481	2160
24717at8509	Complete	group5	55234680	55327909	+	11078	2323
47208at8509	Complete	group6	87318051	87426657	-	8506	2348
43847at8509	Complete	group8	24681849	24724793	-	10681	2331
37011at8509	Complete	group1	142945268	143064187	-	11043	2141
4277at8509	Complete	group1	161682884	161699092	+	12512	2293
57004at8509	Complete	group1	143433342	143465258	+	9413	2238
55721at8509	Complete	group3	155574210	155696870	-	10950	2306
45872at8509	Complete	group14	54241972	54307369	-	11712	2348
56916at8509	Complete	group16	44449819	44640319	+	5691	2097
54432at8509	Complete	group1	90722372	90823645	+	10520	2231
27312at8509	Complete	group4	14199253	14256371	+	8476	2215
23287at8509	Complete	group7	26555211	26670990	-	5875	562
15358at8509	Complete	group14	71600532	71703585	-	10051	2248
53144at8509	Complete	group14	54459140	54486290	+	7986	2263
16914at8509	Complete	group16	36301086	36418810	-	10975	2239
18201at8509	Complete	group8	80546505	80581402	+	10716	2218
54055at8509	Complete	group2	42138676	42247907	-	11085	2221
37666at8509	Complete	group6	10984067	11274456	-	10405	2137
33750at8509	Complete	group7	12589382	12728360	-	8953	2231
7589at8509	Complete	group13	53815420	53903591	+	9124	2208
22991at8509	Complete	group1	114580965	114726564	-	9349	1966
