Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
31391at8509	Single	scaffold_5	148266589	148299956	-	18460	2623	0.547	1.0	0	31391at8509_470340_0:000590	148294563_148299956_-|148293921_148294133_-|148282094_148284509_-|148278247_148281892_-|148266587_148274441_-
13283at8509	Single	scaffold_6	10158524	10344752	-	22900	5598	0.6826	1.0	0	13283at8509_933632_0:0034f5	10344664_10344752_-|10343874_10344047_-|10343173_10343255_-|10341772_10341942_-|10339154_10339401_-|10338758_10338860_-|10338192_10338350_-|10336737_10336819_-|10335200_10335328_-|10334258_10334408_-|10332792_10333032_-|10332320_10332458_-|10331171_10331297_-|10330230_10330402_-|10328917_10329138_-|10326686_10326851_-|10325389_10325641_-|10319899_10320079_-|10317935_10318029_-|10317590_10317846_-|10316300_10316434_-|10314341_10314543_-|10314061_10314188_-|10311522_10311631_-|10310142_10310297_-|10306904_10306997_-|10305759_10306162_-|10303026_10303256_-|10301849_10302055_-|10300323_10300559_-|10298671_10298793_-|10296603_10296697_-|10295608_10295845_-|10291975_10292127_-|10289877_10290017_-|10286989_10287171_-|10286709_10286859_-|10286153_10286312_-|10286016_10286070_-|10283943_10284065_-|10283628_10283846_-|10283113_10283240_-|10281771_10281912_-|10276382_10276546_-|10275173_10275356_-|10273946_10273997_-|10272277_10272328_-|10270809_10270929_-|10269028_10269250_-|10268425_10268566_-|10266092_10266457_-|10265332_10265478_-|10263488_10263658_-|10260638_10260802_-|10253570_10253749_-|10249197_10249319_-|10248973_10249102_-|10246810_10246935_-|10243427_10243518_-|10239400_10239579_-|10237967_10238131_-|10236515_10236767_-|10235623_10235669_-|10235284_10235442_-|10234378_10234512_-|10233722_10233870_-|10232967_10233061_-|10232816_10232868_-|10231253_10231423_-|10230234_10230404_-|10229219_10229298_-|10227311_10227480_-|10227164_10227210_-|10226640_10226840_-|10225766_10225936_-|10219133_10219330_-|10216466_10216562_-|10216138_10216361_-|10214901_10215050_-|10213644_10213810_-|10212776_10212939_-|10199457_10199677_-|10198989_10199030_-|10198296_10198466_-|10197981_10198190_-|10196538_10196705_-|10196182_10196313_-|10192258_10192501_-|10186724_10186876_-|10186169_10186215_-|10185810_10185983_-|10184423_10184605_-|10182879_10183034_-|10182192_10182322_-|10181140_10181264_-|10180234_10180280_-|10179677_10179943_-|10179430_10179591_-|10177952_10178068_-|10177700_10177838_-|10175727_10175929_-|10174745_10174906_-|10173895_10174022_-|10173378_10173529_-|10172714_10172760_-|10172394_10172544_-|10171586_10171797_-|10160209_10160304_-|10159945_10160005_-|10158916_10159046_-|10158668_10158818_-|10158522_10158544_-
22203at8509	Single	scaffold_1	294442177	294565242	-	26062	5493	0.904	1.0	0	22203at8509_176946_0:000579	294565144_294565242_-|294561248_294561474_-|294557166_294557390_-|294555858_294555965_-|294555560_294555752_-|294554592_294554807_-|294553877_294554008_-|294552980_294553083_-|294552034_294552148_-|294551645_294551832_-|294550950_294551031_-|294550463_294550558_-|294549965_294550077_-|294548999_294549147_-|294548671_294548731_-|294547957_294548168_-|294547085_294547188_-|294545913_294546057_-|294544380_294544476_-|294541829_294541942_-|294541397_294541544_-|294541139_294541246_-|294540221_294540372_-|294539761_294539939_-|294537940_294538148_-|294534799_294534945_-|294532835_294532976_-|294532316_294532450_-|294531700_294531829_-|294531116_294531254_-|294530899_294531029_-|294530486_294530621_-|294530102_294530231_-|294529600_294529833_-|294528685_294528882_-|294527104_294527312_-|294525686_294525808_-|294524826_294525023_-|294524453_294524560_-|294523863_294524051_-|294522497_294522586_-|294522131_294522391_-|294520597_294520867_-|294520085_294520244_-|294519182_294519298_-|294518415_294518623_-|294517125_294517270_-|294515537_294515739_-|294513527_294513747_-|294510925_294511038_-|294510141_294510273_-|294509510_294509619_-|294508787_294508920_-|294507320_294507480_-|294506612_294506732_-|294505362_294505572_-|294504995_294505217_-|294503275_294503401_-|294501412_294501579_-|294499895_294500109_-|294498934_294499321_-|294498217_294498326_-|294497102_294497801_-|294495328_294495489_-|294494847_294495120_-|294493053_294493288_-|294492636_294492731_-|294490703_294490797_-|294485212_294485336_-|294484551_294484688_-|294483217_294483326_-|294482779_294482852_-|294479320_294479515_-|294478555_294478711_-|294476932_294477078_-|294475060_294475186_-|294472062_294472167_-|294471170_294471285_-|294467938_294468399_-|294467303_294467532_-|294465529_294465663_-|294465178_294465350_-|294464787_294464948_-|294462706_294462840_-|294461577_294461712_-|294460435_294460607_-|294459062_294459202_-|294457467_294457605_-|294456297_294456553_-|294455912_294456076_-|294454656_294454757_-|294452942_294453143_-|294451940_294452113_-|294451545_294451699_-|294448660_294448740_-|294447983_294448101_-|294446276_294446450_-|294444977_294445050_-|294444762_294444876_-|294443558_294443621_-|294442767_294442909_-|294442175_294442363_-
29468at8509	Single	scaffold_4	84265016	84414355	-	25133	5149	0.9362	1.0	0	29468at8509_460621_0:004296	84414204_84414355_-|84411405_84411502_-|84410171_84410274_-|84409766_84409895_-|84409492_84409631_-|84408818_84408920_-|84406684_84406825_-|84405377_84405501_-|84404319_84404443_-|84404081_84404140_-|84402419_84402609_-|84401434_84401533_-|84401174_84401311_-|84400606_84400720_-|84400276_84400463_-|84399796_84399955_-|84397899_84397987_-|84396883_84397052_-|84396331_84396613_-|84395296_84395428_-|84394927_84395006_-|84393152_84393280_-|84392849_84393031_-|84390924_84391046_-|84388310_84388539_-|84388076_84388200_-|84386427_84386524_-|84385251_84385408_-|84384909_84385118_-|84383604_84383705_-|84381527_84381627_-|84380717_84380915_-|84379302_84379490_-|84378980_84379043_-|84376618_84376809_-|84375678_84375748_-|84375197_84375344_-|84374006_84374230_-|84373734_84373904_-|84372841_84373023_-|84371723_84371881_-|84370192_84370344_-|84368802_84369029_-|84367660_84367817_-|84365133_84365304_-|84364044_84364245_-|84362896_84363059_-|84362564_84362780_-|84361634_84361850_-|84349712_84349775_-|84349267_84349401_-|84347438_84347612_-|84346672_84346815_-|84345561_84345682_-|84344327_84344438_-|84342196_84342326_-|84341624_84341801_-|84340545_84340649_-|84338427_84338564_-|84338142_84338310_-|84336704_84336800_-|84335783_84335890_-|84332268_84332384_-|84325498_84325707_-|84319153_84319302_-|84317587_84317814_-|84315767_84315845_-|84315153_84315386_-|84314871_84315042_-|84312076_84312220_-|84311519_84311604_-|84310838_84310925_-|84310180_84310373_-|84304418_84304657_-|84304080_84304218_-|84303115_84303240_-|84302883_84303011_-|84301992_84302335_-|84300077_84300167_-|84299753_84299837_-|84298965_84299092_-|84298714_84298843_-|84297817_84297974_-|84295974_84296083_-|84295729_84295870_-|84294938_84295019_-|84294631_84294804_-|84293186_84293307_-|84291919_84292116_-|84291314_84291394_-|84282394_84282481_-|84279772_84279899_-|84278334_84278441_-|84278048_84278167_-|84277222_84277412_-|84275701_84275874_-|84275115_84275214_-|84274028_84274246_-|84273751_84273864_-|84272867_84273009_-|84272149_84272274_-|84271684_84271878_-|84268386_84268610_-|84267578_84267668_-|84265199_84265361_-|84265014_84265078_-
32412at8509	Single	scaffold_4	103017054	103173291	-	24327	5029	0.9147	1.0	0	32412at8509_460621_0:001156	103173241_103173291_-|103161057_103161176_-|103160119_103160223_-|103153003_103153077_-|103149511_103149589_-|103147281_103147393_-|103146258_103146351_-|103146000_103146096_-|103145314_103145388_-|103144109_103144265_-|103142942_103143106_-|103141568_103141689_-|103141271_103141457_-|103139740_103139875_-|103138985_103139080_-|103138362_103138480_-|103137207_103137340_-|103135864_103136105_-|103132992_103133184_-|103132277_103132493_-|103130589_103130693_-|103129174_103129277_-|103127519_103127602_-|103127278_103127437_-|103125029_103125176_-|103124258_103124460_-|103123407_103123581_-|103121300_103121508_-|103120220_103120602_-|103119793_103119925_-|103118760_103118920_-|103117616_103117781_-|103115908_103115994_-|103115197_103115423_-|103112765_103113695_-|103110625_103110825_-|103109668_103109779_-|103108176_103108325_-|103107685_103107958_-|103106695_103106809_-|103105599_103105731_-|103104832_103104926_-|103104192_103104327_-|103102830_103103016_-|103101393_103101504_-|103099456_103099576_-|103098481_103098650_-|103097990_103098210_-|103096974_103097064_-|103096111_103096251_-|103094456_103094619_-|103093670_103093748_-|103092846_103092935_-|103092540_103092680_-|103091729_103091803_-|103091152_103091227_-|103090936_103091059_-|103089902_103090017_-|103089174_103089241_-|103088442_103088563_-|103088234_103088283_-|103087622_103087682_-|103086209_103086447_-|103085601_103085682_-|103085042_103085172_-|103082552_103082866_-|103080197_103080437_-|103078686_103078773_-|103077606_103077698_-|103073582_103073752_-|103073022_103073081_-|103072190_103072327_-|103071016_103071128_-|103070071_103070167_-|103069810_103069916_-|103068618_103068669_-|103067634_103067696_-|103063661_103063760_-|103061303_103061382_-|103059787_103059863_-|103058393_103058466_-|103050523_103050603_-|103049459_103049547_-|103047297_103047425_-|103046541_103046645_-|103045340_103045363_-|103041442_103041523_-|103038699_103039999_-|103031353_103031435_-|103030797_103030998_-|103028712_103028798_-|103026888_103027291_-|103025486_103025528_-|103024066_103024196_-|103022981_103023041_-|103021968_103022114_-|103021713_103021847_-|103021434_103021590_-|103020634_103020698_-|103020081_103020181_-|103018772_103018823_-|103017052_103017147_-
58813at8509	Single	scaffold_5	122096507	122237321	-	15817	4706	0.6516	1.0	0	58813at8509_146911_0:003b26	122237146_122237321_-|122216846_122217389_-|122216228_122216551_-|122205958_122207235_-|122166050_122167243_-|122159625_122164563_-|122157247_122159228_-|122152484_122154686_-|122149871_122150007_-|122136054_122136135_-|122134298_122134423_-|122130694_122130802_-|122129848_122129915_-|122124317_122124510_-|122123757_122123807_-|122121208_122121338_-|122120283_122120309_-|122115308_122115401_-|122113215_122113286_-|122110621_122110801_-|122109220_122109414_-|122107918_122108100_-|122104830_122105013_-|122104178_122104245_-|122101832_122101966_-|122099500_122099645_-|122096505_122096645_-
29242at8509	Single	scaffold_1	349737449	349959979	+	25401	4915	0.984	0.9997972836002432	0	29242at8509_94885_0:000a6d	349737450_349737503_+|349737537_349737656_+|349749923_349750027_+|349753690_349753710_+|349762432_349762506_+|349763142_349763220_+|349765033_349765145_+|349769563_349769662_+|349771381_349771477_+|349780630_349780704_+|349782002_349782158_+|349790618_349790782_+|349796846_349796967_+|349797618_349797801_+|349801632_349801767_+|349802867_349802962_+|349805707_349805825_+|349805995_349806128_+|349806348_349806589_+|349806901_349807093_+|349807853_349808069_+|349809214_349809318_+|349810201_349810304_+|349810894_349810977_+|349812059_349812218_+|349812947_349813094_+|349814256_349814464_+|349815997_349816171_+|349817382_349817590_+|349819469_349819815_+|349820267_349820381_+|349822590_349822750_+|349824305_349824464_+|349824704_349824790_+|349827666_349827892_+|349828801_349829602_+|349830077_349830277_+|349831886_349831991_+|349832706_349832849_+|349833783_349834056_+|349835393_349835507_+|349838932_349839064_+|349839553_349839656_+|349840592_349840727_+|349841547_349841733_+|349843087_349843183_+|349844219_349844339_+|349844474_349844643_+|349845585_349845805_+|349847673_349847763_+|349852358_349852498_+|349853643_349853806_+|349854530_349854608_+|349855871_349855960_+|349858153_349858290_+|349859131_349859208_+|349859792_349859867_+|349860824_349860950_+|349862574_349862689_+|349863982_349864046_+|349864975_349865096_+|349868363_349868412_+|349871743_349871803_+|349873141_349873379_+|349875997_349876078_+|349877553_349877674_+|349878365_349878685_+|349879049_349879289_+|349879757_349879844_+|349880656_349880748_+|349884356_349884526_+|349885495_349885554_+|349885870_349886004_+|349890573_349890685_+|349890962_349891058_+|349892525_349892628_+|349894189_349894243_+|349905266_349905365_+|349905925_349906004_+|349906873_349906949_+|349909256_349909329_+|349917515_349917595_+|349917807_349917895_+|349918879_349919007_+|349920195_349920299_+|349923249_349923330_+|349924824_349926127_+|349926504_349926571_+|349932225_349932372_+|349933018_349933104_+|349934117_349934335_+|349935226_349935356_+|349936618_349936660_+|349940080_349940213_+|349951558_349951618_+|349952079_349952225_+|349952760_349952894_+|349953776_349953932_+|349955612_349955676_+|349957054_349957154_+|349957891_349957942_+|349959887_349959982_+
30273at8509	Single	scaffold_1	358514227	358673919	+	23910	4851	0.9483	1.0	0	30273at8509_933632_0:000130	358514228_358514513_+|358523605_358523786_+|358525090_358525227_+|358525880_358526073_+|358527534_358527645_+|358529931_358530013_+|358531201_358531423_+|358531508_358531668_+|358532323_358532381_+|358533208_358534602_+|358538904_358539053_+|358539521_358539746_+|358540594_358540754_+|358541365_358541493_+|358543596_358543727_+|358543942_358544120_+|358544726_358544856_+|358553318_358553479_+|358553589_358553720_+|358554029_358554126_+|358555204_358555351_+|358556645_358556778_+|358557956_358558102_+|358563034_358563221_+|358564481_358564795_+|358565193_358565292_+|358566347_358566561_+|358566716_358566924_+|358567136_358567482_+|358570640_358570859_+|358571276_358571409_+|358571821_358571958_+|358575444_358575571_+|358576206_358576337_+|358577447_358577662_+|358578639_358578822_+|358579825_358579980_+|358581913_358582046_+|358583213_358583366_+|358583899_358584015_+|358584611_358584765_+|358585710_358585836_+|358588142_358588252_+|358589693_358589826_+|358590129_358590256_+|358593142_358593704_+|358595105_358595280_+|358595844_358595940_+|358596338_358596532_+|358598578_358598778_+|358599894_358600173_+|358601285_358601541_+|358601833_358601941_+|358604259_358604480_+|358606245_358607025_+|358607588_358607731_+|358611468_358611597_+|358612479_358612610_+|358615034_358615201_+|358616133_358616306_+|358620118_358620314_+|358623057_358623357_+|358626507_358626724_+|358628396_358628560_+|358628992_358629160_+|358659001_358659211_+|358662457_358662602_+|358663303_358663413_+|358664370_358664587_+|358665107_358665268_+|358666068_358666145_+|358666812_358667000_+|358672140_358672274_+|358673743_358673922_+
30740at8509	Single	scaffold_4	36150810	36192781	-	24273	4848	0.9588	1.0	0	30740at8509_103944_0:000eb2	36191852_36192781_-|36190998_36191093_-|36190120_36190314_-|36189702_36190013_-|36189419_36189515_-|36189122_36189265_-|36188363_36188490_-|36187693_36187837_-|36187433_36187608_-|36186332_36186462_-|36185752_36185917_-|36185411_36185536_-|36184912_36185133_-|36184333_36184485_-|36184003_36184135_-|36183361_36183552_-|36183021_36183242_-|36182262_36182435_-|36181685_36181803_-|36181479_36181592_-|36180998_36181169_-|36180553_36180862_-|36179973_36180093_-|36179676_36179727_-|36176972_36177240_-|36176180_36176395_-|36175935_36176055_-|36175560_36175797_-|36174967_36175157_-|36174620_36174775_-|36174349_36174455_-|36173777_36173887_-|36173519_36173695_-|36172932_36173171_-|36172487_36172570_-|36171486_36171997_-|36170132_36170898_-|36169233_36169431_-|36168971_36169131_-|36168751_36168867_-|36168138_36168369_-|36167839_36167963_-|36166956_36167176_-|36165693_36165961_-|36164900_36164952_-|36164600_36164800_-|36164011_36164185_-|36163650_36163920_-|36163105_36163318_-|36162779_36162984_-|36162345_36162472_-|36161890_36162017_-|36161146_36161346_-|36160851_36160981_-|36160456_36160655_-|36159761_36159875_-|36159331_36159477_-|36159012_36159113_-|36158734_36158907_-|36158054_36158347_-|36157704_36157769_-|36157504_36157629_-|36157202_36157340_-|36156701_36156882_-|36156384_36156539_-|36156126_36156248_-|36155562_36155664_-|36155280_36155449_-|36155061_36155199_-|36154662_36154831_-|36154039_36154208_-|36153779_36153944_-|36152913_36152989_-|36152298_36152550_-|36151907_36152059_-|36151399_36151704_-|36150808_36150993_-
20966at8509	Single	scaffold_7	97389733	97509942	+	24191	4833	0.9527	1.0	0	20966at8509_103695_0:002207	97389734_97389805_+|97409840_97409954_+|97411359_97411496_+|97414668_97414887_+|97415598_97415698_+|97415834_97415990_+|97416818_97416928_+|97417103_97417274_+|97418015_97418188_+|97418670_97418858_+|97420368_97420519_+|97421799_97421956_+|97422826_97422939_+|97423666_97423917_+|97425328_97425521_+|97427243_97427443_+|97427933_97428161_+|97428251_97428375_+|97429540_97429718_+|97430792_97430973_+|97431598_97431753_+|97432071_97432256_+|97432835_97433005_+|97433100_97433203_+|97434872_97435022_+|97435611_97435825_+|97436749_97436881_+|97437896_97438023_+|97438117_97438312_+|97438708_97438844_+|97439631_97439804_+|97439889_97440025_+|97440625_97440776_+|97441353_97441544_+|97441730_97441917_+|97442085_97442277_+|97443096_97443278_+|97444264_97444448_+|97446882_97447029_+|97447144_97447340_+|97447600_97447830_+|97448322_97448457_+|97449655_97449798_+|97454308_97454450_+|97455597_97455864_+|97456093_97456235_+|97456389_97456481_+|97458920_97459088_+|97459187_97459312_+|97461705_97461813_+|97462026_97462165_+|97462467_97462657_+|97462933_97463038_+|97463161_97463252_+|97464854_97465029_+|97467611_97467722_+|97470359_97470440_+|97470559_97470702_+|97472115_97472205_+|97472583_97472760_+|97473191_97473272_+|97474930_97475101_+|97475792_97475936_+|97476599_97476824_+|97477167_97477338_+|97477962_97478148_+|97478591_97478731_+|97479736_97479927_+|97485708_97485861_+|97486437_97486544_+|97487126_97487257_+|97487679_97487837_+|97487926_97488044_+|97488496_97488621_+|97489092_97489247_+|97489529_97489644_+|97489758_97489956_+|97491035_97491249_+|97491955_97492132_+|97493020_97493181_+|97494203_97494294_+|97494612_97494751_+|97496201_97496388_+|97496912_97497109_+|97497394_97497477_+|97499030_97499171_+|97500141_97500335_+|97500438_97500550_+|97505655_97505845_+|97506195_97506300_+|97508139_97508351_+|97509673_97509945_+
