# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
31391at8509	Complete	scaffold_5	148266589	148299956	-	18460	2623
13283at8509	Complete	scaffold_6	10158524	10344752	-	22900	5598
22203at8509	Complete	scaffold_1	294442177	294565242	-	26062	5493
29468at8509	Complete	scaffold_4	84265016	84414355	-	25133	5149
32412at8509	Complete	scaffold_4	103017054	103173291	-	24327	5029
58813at8509	Complete	scaffold_5	122096507	122237321	-	15817	4706
29242at8509	Complete	scaffold_1	349737449	349959979	+	25401	4915
30273at8509	Complete	scaffold_1	358514227	358673919	+	23910	4851
30740at8509	Complete	scaffold_4	36150810	36192781	-	24273	4848
20966at8509	Complete	scaffold_7	97389733	97509942	+	24191	4833
37330at8509	Complete	scaffold_6	17936571	18050085	-	23386	4806
56752at8509	Complete	scaffold_4	5399687	5444332	-	15641	4585
4768at8509	Complete	scaffold_1	189210883	189373315	-	23807	4380
42969at8509	Complete	scaffold_1	82414766	82516232	+	10797	4664
8129at8509	Complete	scaffold_1	42533155	42595065	-	23631	4638
895at8509	Complete	scaffold_2	224193414	224547156	-	24422	4618
21592at8509	Complete	scaffold_7	126442875	126585491	+	23902	4424
15558at8509	Complete	scaffold_8	53512125	53629323	+	22819	4584
23389at8509	Complete	scaffold_1	252723211	252778579	+	15440	4460
15079at8509	Complete	scaffold_7	22510341	22536135	-	23489	4576
50084at8509	Complete	scaffold_4	2637733	2661332	+	21349	4466
49281at8509	Complete	scaffold_6	53004987	53230807	-	19062	4469
18848at8509	Complete	scaffold_2	187019799	187177726	-	21855	4460
42563at8509	Complete	scaffold_2	233237001	233321513	+	21348	4355
40822at8509	Complete	scaffold_2	133484612	133568111	+	17174	4365
14943at8509	Complete	scaffold_4	97798744	97859053	-	19881	4272
23723at8509	Complete	scaffold_2	117441472	117644704	+	20201	4214
54690at8509	Complete	scaffold_4	158042848	158055334	+	15833	3676
22157at8509	Complete	scaffold_3	54097366	54175800	+	17099	4121
24414at8509	Complete	scaffold_4	70257593	70331386	-	19783	4042
54545at8509	Complete	scaffold_6	74865065	74992834	+	12416	3688
55775at8509	Complete	scaffold_4	159733533	159768659	+	17506	3597
41965at8509	Complete	scaffold_1	159031841	159138919	+	10939	1859
20375at8509	Complete	scaffold_4	69221204	69278999	+	17728	3642
17382at8509	Complete	scaffold_1	401545886	401703044	-	18207	3546
47729at8509	Complete	scaffold_1	145445561	145608890	-	14010	3476
50720at8509	Complete	scaffold_1	187635502	187962442	+	10737	3402
44887at8509	Complete	scaffold_4	82917574	82954747	-	15672	3162
20617at8509	Complete	scaffold_1	124948456	125060161	+	11889	3364
6215at8509	Complete	scaffold_5	152302365	152616631	-	17223	2885
19234at8509	Complete	scaffold_4	5342086	5369766	+	15758	3226
57343at8509	Complete	scaffold_5	217511764	217559953	+	8043	3201
27780at8509	Complete	scaffold_2	300417588	300542110	+	14202	3173
38591at8509	Complete	scaffold_2	103278742	103393201	-	14736	3039
51308at8509	Complete	scaffold_3	148639643	148664234	-	10564	2352
55453at8509	Complete	scaffold_1	225322477	225428533	-	11702	3149
32830at8509	Complete	scaffold_8	37055355	37122553	+	15578	3057
56839at8509	Complete	scaffold_7	62829241	62867961	+	6371	2493
34755at8509	Complete	scaffold_1	286948287	287082397	-	13984	3114
29609at8509	Complete	scaffold_8	79679093	79813559	+	14745	3005
25006at8509	Complete	scaffold_1	308618014	308695109	-	15047	3066
19698at8509	Complete	scaffold_3	64244597	64366502	-	15085	3066
26865at8509	Complete	scaffold_4	29947760	30022678	+	14049	3048
19389at8509	Complete	scaffold_4	30511941	30617349	-	15047	1702
22570at8509	Complete	scaffold_3	108414178	108713939	-	15680	3028
28398at8509	Complete	scaffold_7	105108157	105145293	+	14449	2937
24752at8509	Complete	scaffold_7	26059132	26213157	+	14835	2996
48778at8509	Complete	scaffold_3	48784568	48928807	-	15381	3002
18237at8509	Complete	scaffold_2	318601286	318684794	-	15002	2990
55479at8509	Complete	scaffold_2	199237699	199344132	+	14342	2877
41669at8509	Complete	scaffold_3	200326013	200447864	-	15240	2755
28947at8509	Complete	scaffold_4	154464168	154502180	+	13078	2872
50719at8509	Complete	scaffold_8	92943874	93030218	-	12159	3052
55441at8509	Complete	scaffold_5	199572711	199697172	+	11191	2852
45165at8509	Complete	scaffold_3	260772020	260821344	+	9403	2817
48062at8509	Complete	scaffold_2	322408319	322474126	-	13993	2825
4794at8509	Complete	scaffold_8	55575051	55940592	-	14734	2809
43858at8509	Complete	scaffold_5	178437129	178511788	+	11290	2775
44256at8509	Complete	scaffold_3	30938229	31018282	+	14384	2791
36180at8509	Complete	scaffold_2	359956075	360054623	-	13515	2761
47713at8509	Complete	scaffold_3	66199610	66345730	-	13338	2674
42034at8509	Complete	scaffold_3	224042964	224136948	+	12305	2757
94at8509	Complete	scaffold_4	28107494	28252191	+	15179	2727
57739at8509	Complete	scaffold_3	130666338	130743034	+	13239	2710
42149at8509	Complete	scaffold_7	94750577	94767967	+	12423	2570
54550at8509	Complete	scaffold_4	158488849	158521481	-	11393	2697
25933at8509	Complete	scaffold_1	292758006	292788719	+	10666	2701
25052at8509	Complete	scaffold_1	49600623	49744949	-	13139	2704
12867at8509	Complete	scaffold_4	232813556	233146809	+	14133	2703
38200at8509	Complete	scaffold_2	89926208	90179376	+	13928	2687
58291at8509	Complete	scaffold_3	85108269	85187503	-	9594	2623
61046at8509	Complete	scaffold_4	14885644	14901478	+	11019	2803
13011at8509	Complete	scaffold_2	158669609	159191427	-	13510	2597
57776at8509	Complete	scaffold_3	223163756	223206463	+	7745	2571
15449at8509	Complete	scaffold_3	202733169	202849457	+	13146	2663
8770at8509	Complete	scaffold_2	234635680	234716228	+	13610	2645
18368at8509	Complete	scaffold_5	37019369	37076981	+	11169	2646
51675at8509	Complete	scaffold_4	110386292	110436678	-	13131	2609
25146at8509	Complete	scaffold_2	125181311	125243970	-	9912	2633
42199at8509	Complete	scaffold_2	346566038	346643184	-	9013	2293
8689at8509	Complete	scaffold_2	103953180	104043310	-	13501	2622
28619at8509	Complete	scaffold_3	186634928	186714904	+	12772	2582
38809at8509	Complete	scaffold_1	12297855	12347460	+	7870	2236
52943at8509	Complete	scaffold_1	377984259	378019030	-	4801	2626
24472at8509	Complete	scaffold_5	31964790	31985431	+	11627	2423
52395at8509	Complete	scaffold_4	52241520	52270678	+	8623	2601
34045at8509	Complete	scaffold_1	87199541	87248915	-	9964	2510
36697at8509	Complete	scaffold_3	121122287	121239414	+	12350	2462
41913at8509	Complete	scaffold_7	65813853	65914440	-	8847	2590
31054at8509	Complete	scaffold_1	68898267	68961594	+	13061	2558
49422at8509	Complete	scaffold_1	359267444	359301713	-	8967	2043
11405at8509	Complete	scaffold_7	72086085	72195217	-	13483	2548
58215at8509	Complete	scaffold_5	191060966	191154679	-	12402	2506
16406at8509	Complete	scaffold_4	82456173	82521043	+	13061	2519
38327at8509	Complete	scaffold_2	384089968	384116698	+	12008	2540
55305at8509	Complete	scaffold_4	43692010	43802259	-	13649	2498
40786at8509	Complete	scaffold_6	15165425	15172988	-	7874	2446
38907at8509	Complete	scaffold_4	100342814	100367886	-	12086	2488
15236at8509	Complete	scaffold_3	138306572	138463899	+	12789	1472
11272at8509	Complete	scaffold_2	185967457	186008800	+	12509	2504
51430at8509	Complete	scaffold_4	158234503	158293391	-	10133	2117
26884at8509	Complete	scaffold_4	48893685	48927613	-	10203	2397
21681at8509	Complete	scaffold_2	268996353	269089934	+	12137	2483
52051at8509	Complete	scaffold_4	105865327	105912854	+	12019	2433
9412at8509	Complete	scaffold_1	338312809	338395704	+	10273	2459
33270at8509	Complete	scaffold_5	154356101	154461987	-	9797	2415
52146at8509	Complete	scaffold_1	104835882	105175619	+	11572	2461
52500at8509	Complete	scaffold_5	181736585	181844525	-	12941	2428
34281at8509	Complete	scaffold_7	44396426	44521184	+	5375	2285
46357at8509	Duplicated	scaffold_6	171055961	171119247	-	11881	2386
46357at8509	Duplicated	scaffold_66	332054	517326	+	11452	2386
12709at8509	Complete	scaffold_1	223046607	223151638	-	11037	2410
41789at8509	Complete	scaffold_2	166683983	166988670	-	11793	2464
22508at8509	Complete	scaffold_1	290944740	290995136	+	11559	2462
53915at8509	Complete	scaffold_4	111977512	112022767	-	8617	2414
60528at8509	Complete	scaffold_3	255702469	255750479	-	11844	2399
49713at8509	Complete	scaffold_2	190205136	190254363	-	11267	2431
47557at8509	Complete	scaffold_5	173090395	173155138	-	9821	2430
58395at8509	Complete	scaffold_4	76309835	76350381	-	10338	2421
58359at8509	Complete	scaffold_4	190640860	190726885	-	8238	1907
27268at8509	Complete	scaffold_4	14095657	14139258	+	8362	2404
46014at8509	Complete	scaffold_4	99979975	100009495	-	11690	2362
50258at8509	Complete	scaffold_6	111226963	111351020	+	10028	2249
24488at8509	Complete	scaffold_4	139660784	139718080	+	10092	2367
34049at8509	Complete	scaffold_1	327891410	327916842	-	10335	2436
34661at8509	Complete	scaffold_5	103206298	103247690	+	9920	2323
50975at8509	Complete	scaffold_2	341215666	341293544	+	9823	2341
2046at8509	Complete	scaffold_2	169427505	169513348	-	12436	2357
48163at8509	Complete	scaffold_5	167821916	168081095	+	11615	2386
37247at8509	Complete	scaffold_4	34401800	34444714	+	8756	2331
26018at8509	Complete	scaffold_8	99697721	99773054	-	10967	2320
50843at8509	Complete	scaffold_3	140240350	140302479	-	10392	2364
49583at8509	Complete	scaffold_1	177028064	177080603	+	6396	2278
27472at8509	Complete	scaffold_6	33044745	33124675	-	9370	2291
18888at8509	Complete	scaffold_1	396762816	396898401	+	11950	2351
52751at8509	Complete	scaffold_4	43614515	43679067	-	6481	2160
24717at8509	Complete	scaffold_1	84551492	84644721	-	11078	2323
47208at8509	Complete	scaffold_2	108500518	108609124	+	8506	2348
43847at8509	Complete	scaffold_1	354640386	354683330	-	10681	2331
37011at8509	Complete	scaffold_4	53091601	53210520	+	11043	2141
4277at8509	Complete	scaffold_4	1419571	1435779	+	12512	2293
57004at8509	Complete	scaffold_4	52690530	52722446	-	9413	2238
55721at8509	Complete	scaffold_3	158278564	158401224	-	10950	2306
45872at8509	Complete	scaffold_2	250169247	250234644	-	11712	2348
56916at8509	Complete	scaffold_6	105215168	105405668	-	5691	2097
54432at8509	Complete	scaffold_4	116614374	116715647	-	10520	2231
27312at8509	Complete	scaffold_7	61953158	62010276	-	8476	2215
23287at8509	Complete	scaffold_5	73035763	73151542	+	5875	562
15358at8509	Complete	scaffold_2	267527807	267630860	-	10051	2248
53144at8509	Complete	scaffold_2	250386415	250413565	+	7986	2263
16914at8509	Complete	scaffold_6	113436677	113554401	+	10975	2239
18201at8509	Complete	scaffold_1	410505042	410539939	+	10716	2218
54055at8509	Complete	scaffold_1	182004995	182114226	-	11085	2221
37666at8509	Complete	scaffold_2	184652719	184943108	+	10405	2137
33750at8509	Complete	scaffold_5	86978393	87117371	+	8953	2231
7589at8509	Complete	scaffold_5	164374878	164463049	-	9124	2208
22991at8509	Complete	scaffold_4	94782687	94928286	+	9349	1966
31366at8509	Complete	scaffold_2	221657772	221705175	+	6891	2170
8614at8509	Complete	scaffold_1	301774422	302042465	-	10311	2203
42627at8509	Complete	scaffold_6	138010946	138090682	+	9842	2276
45856at8509	Complete	scaffold_4	74427411	74461772	+	10660	2148
53169at8509	Complete	scaffold_1	79294126	79325025	+	8205	2288
37050at8509	Complete	scaffold_4	98763937	98797307	+	7049	2181
43764at8509	Complete	scaffold_5	182574869	182774085	-	9547	2037
19879at8509	Complete	scaffold_4	36653279	36703418	-	10176	2203
16157at8509	Complete	scaffold_1	325087542	325159794	+	10051	2171
41508at8509	Complete	scaffold_3	54978012	55107588	-	8685	2131
19721at8509	Complete	scaffold_2	196274891	196388874	+	10939	1611
27305at8509	Complete	scaffold_1	349367479	349410003	-	8459	2144
59089at8509	Complete	scaffold_2	235160431	235184328	-	9413	1977
15354at8509	Complete	scaffold_4	191149806	191200471	+	10579	2083
33772at8509	Complete	scaffold_1	347664665	347790483	-	8861	2070
8125at8509	Complete	scaffold_4	163599593	163649074	+	10903	2125
53009at8509	Complete	scaffold_1	158519908	158593212	-	7848	1350
28437at8509	Complete	scaffold_4	54012433	54026739	-	9667	2042
45149at8509	Complete	scaffold_2	107261500	107564121	-	10444	2108
49013at8509	Complete	scaffold_5	218112247	218342182	+	9405	1125
23167at8509	Complete	scaffold_1	228537524	228545828	-	5397	1902
54479at8509	Complete	scaffold_1	62638314	62702152	-	9685	1794
23160at8509	Complete	scaffold_3	182184779	182326279	+	10792	2084
36754at8509	Complete	scaffold_3	55930854	55985037	-	10291	1000
14306at8509	Complete	scaffold_2	118850769	119040523	-	10278	2092
10200at8509	Complete	scaffold_7	111950604	112085459	-	9841	2036
18146at8509	Complete	scaffold_1	218771688	218879717	+	9527	2104
21912at8509	Complete	scaffold_4	795003	837663	+	10191	1961
44939at8509	Complete	scaffold_3	194461268	194608572	-	8502	2069
44784at8509	Complete	scaffold_4	76174842	76197628	+	10378	2123
10971at8509	Complete	scaffold_1	47777871	47829516	+	9543	2071
31346at8509	Complete	scaffold_5	37592462	37681453	+	10216	2059
50689at8509	Complete	scaffold_2	171411261	171500967	-	10195	1975
27330at8509	Complete	scaffold_4	54483808	54541408	+	9190	2061
38055at8509	Complete	scaffold_4	59644732	59692078	+	6898	1822
50886at8509	Complete	scaffold_3	227638747	227672638	-	8110	2024
19640at8509	Complete	scaffold_4	159515369	159605654	-	10311	1895
26451at8509	Complete	scaffold_1	357841378	357887134	-	10399	2065
54631at8509	Complete	scaffold_1	279395953	279445425	+	7101	1979
24725at8509	Complete	scaffold_6	120249661	120553918	-	10100	2055
53148at8509	Duplicated	scaffold_94	107562	178480	-	3454	1252
53148at8509	Duplicated	scaffold_6	76634402	76705103	-	3432	1252
53148at8509	Duplicated	scaffold_6	76279396	76408721	-	3553	1252
53148at8509	Duplicated	scaffold_6	76880409	77009992	-	3533	1252
24705at8509	Complete	scaffold_5	86519013	86638399	-	9633	2054
18432at8509	Complete	scaffold_2	192831062	192956670	+	10589	2054
48015at8509	Complete	scaffold_1	252617691	252623799	-	5967	1924
38344at8509	Complete	scaffold_4	170283513	170392530	+	9446	2031
30098at8509	Complete	scaffold_1	68809397	68872761	+	8783	2043
27617at8509	Complete	scaffold_3	223309166	223387786	-	9641	2030
28002at8509	Complete	scaffold_1	144440765	144513634	-	10237	2035
44833at8509	Complete	scaffold_2	293881203	293965741	+	9478	1975
27159at8509	Complete	scaffold_2	299483875	299574216	-	8301	2025
23021at8509	Complete	scaffold_2	296258638	296339490	-	9947	2020
34720at8509	Complete	scaffold_1	89852411	89900909	+	10010	2024
46647at8509	Complete	scaffold_1	397272375	397376095	-	8677	1876
52561at8509	Complete	scaffold_1	39818533	40008956	-	8102	2016
35311at8509	Complete	scaffold_2	180884298	180949180	+	8085	2007
48085at8509	Complete	scaffold_3	65597922	65655649	+	8024	2027
24038at8509	Complete	scaffold_3	193274621	193445733	-	9991	579
29999at8509	Complete	scaffold_2	288941393	289035838	+	10098	1950
43608at8509	Complete	scaffold_4	190304046	190375221	+	9275	2000
33047at8509	Complete	scaffold_5	178523731	178567435	-	9390	2008
29484at8509	Complete	scaffold_3	107464263	107582023	+	10092	1987
26609at8509	Complete	scaffold_1	19935832	19997805	+	7740	1888
48962at8509	Complete	scaffold_6	158706650	158775861	-	9851	1976
36865at8509	Fragmented	scaffold_8	98716642	98765930	-	7801	1564
45012at8509	Complete	scaffold_2	235584607	235647813	-	10044	1929
37621at8509	Complete	scaffold_2	209350785	209441148	+	9976	1984
38287at8509	Complete	scaffold_6	36183203	36350204	+	6418	1980
60310at8509	Complete	scaffold_4	82683571	82708285	-	6140	1853
49846at8509	Complete	scaffold_1	294570389	294586700	+	8589	2009
54946at8509	Complete	scaffold_5	164815921	164859596	-	8572	1935
17488at8509	Complete	scaffold_4	18773740	18851392	-	8078	1963
5575at8509	Complete	scaffold_1	52435098	52557465	+	10149	1968
53096at8509	Complete	scaffold_8	107265357	107272085	+	1686	1331
19706at8509	Complete	scaffold_6	184757462	184794691	-	10265	1961
56544at8509	Complete	scaffold_1	27847148	27931211	-	9215	1794
42067at8509	Complete	scaffold_4	81995953	82115730	-	8806	1966
34677at8509	Complete	scaffold_3	82360753	82436044	+	9491	1955
20474at8509	Complete	scaffold_2	284643579	284687872	-	8261	1944
28425at8509	Complete	scaffold_7	64562738	64653987	+	6179	1933
44402at8509	Complete	scaffold_5	186582409	186630390	+	9459	1958
49555at8509	Complete	scaffold_8	28164924	28184590	+	6979	1896
48910at8509	Complete	scaffold_6	15804762	15874185	+	7456	1931
52145at8509	Complete	scaffold_1	225806414	225933187	+	9882	1008
51608at8509	Complete	scaffold_7	139381161	139409546	+	5889	1951
53490at8509	Complete	scaffold_5	180876763	180914387	+	8379	1885
42500at8509	Complete	scaffold_4	53909280	53927687	-	9525	1909
51166at8509	Complete	scaffold_1	373793786	373826359	-	5431	1868
39628at8509	Complete	scaffold_1	157282068	157470274	-	7714	1933
13720at8509	Complete	scaffold_1	388994155	389054667	+	9888	1944
40587at8509	Complete	scaffold_4	75083655	75094180	+	7677	1894
54870at8509	Complete	scaffold_1	50658216	50694352	+	7075	1905
59846at8509	Complete	scaffold_1	226060374	226113141	-	9126	1915
40289at8509	Complete	scaffold_3	224543550	224601214	+	9497	1933
37165at8509	Complete	scaffold_7	39418599	39527121	-	9452	1931
16293at8509	Complete	scaffold_1	165035312	165079370	-	8712	1907
