Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
31391at8509	Single	group13	69978513	70011880	+	18460	2623	0.547	1.0	0	31391at8509_470340_0:000590	69978514_69983907_+|69984337_69984549_+|69993961_69996376_+|69996578_70000223_+|70004029_70011883_+
13283at8509	Single	group12	69062104	69248332	+	22900	5598	0.6826	1.0	0	13283at8509_933632_0:0034f5	69062105_69062193_+|69062810_69062983_+|69063602_69063684_+|69064915_69065085_+|69067456_69067703_+|69067997_69068099_+|69068507_69068665_+|69070038_69070120_+|69071529_69071657_+|69072449_69072599_+|69073825_69074065_+|69074399_69074537_+|69075560_69075686_+|69076455_69076627_+|69077719_69077940_+|69080006_69080171_+|69081216_69081468_+|69086778_69086958_+|69088828_69088922_+|69089011_69089267_+|69090423_69090557_+|69092314_69092516_+|69092669_69092796_+|69095226_69095335_+|69096560_69096715_+|69099860_69099953_+|69100695_69101098_+|69103601_69103831_+|69104802_69105008_+|69106298_69106534_+|69108064_69108186_+|69110160_69110254_+|69111012_69111249_+|69114730_69114882_+|69116840_69116980_+|69119686_69119868_+|69119998_69120148_+|69120545_69120704_+|69120787_69120841_+|69122792_69122914_+|69123011_69123229_+|69123617_69123744_+|69124945_69125086_+|69130311_69130475_+|69131501_69131684_+|69132860_69132911_+|69134529_69134580_+|69135928_69136048_+|69137607_69137829_+|69138291_69138432_+|69140400_69140765_+|69141379_69141525_+|69143199_69143369_+|69146055_69146219_+|69153108_69153287_+|69157538_69157660_+|69157755_69157884_+|69159922_69160047_+|69163339_69163430_+|69167278_69167457_+|69168726_69168890_+|69170090_69170342_+|69171188_69171234_+|69171415_69171573_+|69172345_69172479_+|69172987_69173135_+|69173796_69173890_+|69173989_69174041_+|69175434_69175604_+|69176453_69176623_+|69177559_69177638_+|69179377_69179546_+|69179647_69179693_+|69180017_69180217_+|69180921_69181091_+|69187527_69187724_+|69190295_69190391_+|69190496_69190719_+|69191807_69191956_+|69193047_69193213_+|69193918_69194081_+|69207180_69207400_+|69207827_69207868_+|69208391_69208561_+|69208667_69208876_+|69210152_69210319_+|69210544_69210675_+|69214356_69214599_+|69219981_69220133_+|69220642_69220688_+|69220874_69221047_+|69222252_69222434_+|69223823_69223978_+|69224535_69224665_+|69225593_69225717_+|69226577_69226623_+|69226914_69227180_+|69227266_69227427_+|69228789_69228905_+|69229019_69229157_+|69230928_69231130_+|69231951_69232112_+|69232835_69232962_+|69233328_69233479_+|69234097_69234143_+|69234313_69234463_+|69235060_69235271_+|69246553_69246648_+|69246852_69246912_+|69247811_69247941_+|69248039_69248189_+|69248313_69248335_+
22203at8509	Single	group2	154575858	154698923	-	26062	5493	0.904	1.0	0	22203at8509_176946_0:000579	154698825_154698923_-|154694929_154695155_-|154690847_154691071_-|154689539_154689646_-|154689241_154689433_-|154688273_154688488_-|154687558_154687689_-|154686661_154686764_-|154685715_154685829_-|154685326_154685513_-|154684631_154684712_-|154684144_154684239_-|154683646_154683758_-|154682680_154682828_-|154682352_154682412_-|154681638_154681849_-|154680766_154680869_-|154679594_154679738_-|154678061_154678157_-|154675510_154675623_-|154675078_154675225_-|154674820_154674927_-|154673902_154674053_-|154673442_154673620_-|154671621_154671829_-|154668480_154668626_-|154666516_154666657_-|154665997_154666131_-|154665381_154665510_-|154664797_154664935_-|154664580_154664710_-|154664167_154664302_-|154663783_154663912_-|154663281_154663514_-|154662366_154662563_-|154660785_154660993_-|154659367_154659489_-|154658507_154658704_-|154658134_154658241_-|154657544_154657732_-|154656178_154656267_-|154655812_154656072_-|154654278_154654548_-|154653766_154653925_-|154652863_154652979_-|154652096_154652304_-|154650806_154650951_-|154649218_154649420_-|154647208_154647428_-|154644606_154644719_-|154643822_154643954_-|154643191_154643300_-|154642468_154642601_-|154641001_154641161_-|154640293_154640413_-|154639043_154639253_-|154638676_154638898_-|154636956_154637082_-|154635093_154635260_-|154633576_154633790_-|154632615_154633002_-|154631898_154632007_-|154630783_154631482_-|154629009_154629170_-|154628528_154628801_-|154626734_154626969_-|154626317_154626412_-|154624384_154624478_-|154618893_154619017_-|154618232_154618369_-|154616898_154617007_-|154616460_154616533_-|154613001_154613196_-|154612236_154612392_-|154610613_154610759_-|154608741_154608867_-|154605743_154605848_-|154604851_154604966_-|154601619_154602080_-|154600984_154601213_-|154599210_154599344_-|154598859_154599031_-|154598468_154598629_-|154596387_154596521_-|154595258_154595393_-|154594116_154594288_-|154592743_154592883_-|154591148_154591286_-|154589978_154590234_-|154589593_154589757_-|154588337_154588438_-|154586623_154586824_-|154585621_154585794_-|154585226_154585380_-|154582341_154582421_-|154581664_154581782_-|154579957_154580131_-|154578658_154578731_-|154578443_154578557_-|154577239_154577302_-|154576448_154576590_-|154575856_154576044_-
29468at8509	Single	group1	142341580	142490919	-	25133	5149	0.9362	1.0	0	29468at8509_460621_0:004296	142490768_142490919_-|142487969_142488066_-|142486735_142486838_-|142486330_142486459_-|142486056_142486195_-|142485382_142485484_-|142483248_142483389_-|142481941_142482065_-|142480883_142481007_-|142480645_142480704_-|142478983_142479173_-|142477998_142478097_-|142477738_142477875_-|142477170_142477284_-|142476840_142477027_-|142476360_142476519_-|142474463_142474551_-|142473447_142473616_-|142472895_142473177_-|142471860_142471992_-|142471491_142471570_-|142469716_142469844_-|142469413_142469595_-|142467488_142467610_-|142464874_142465103_-|142464640_142464764_-|142462991_142463088_-|142461815_142461972_-|142461473_142461682_-|142460168_142460269_-|142458091_142458191_-|142457281_142457479_-|142455866_142456054_-|142455544_142455607_-|142453182_142453373_-|142452242_142452312_-|142451761_142451908_-|142450570_142450794_-|142450298_142450468_-|142449405_142449587_-|142448287_142448445_-|142446756_142446908_-|142445366_142445593_-|142444224_142444381_-|142441697_142441868_-|142440608_142440809_-|142439460_142439623_-|142439128_142439344_-|142438198_142438414_-|142426276_142426339_-|142425831_142425965_-|142424002_142424176_-|142423236_142423379_-|142422125_142422246_-|142420891_142421002_-|142418760_142418890_-|142418188_142418365_-|142417109_142417213_-|142414991_142415128_-|142414706_142414874_-|142413268_142413364_-|142412347_142412454_-|142408832_142408948_-|142402062_142402271_-|142395717_142395866_-|142394151_142394378_-|142392331_142392409_-|142391717_142391950_-|142391435_142391606_-|142388640_142388784_-|142388083_142388168_-|142387402_142387489_-|142386744_142386937_-|142380982_142381221_-|142380644_142380782_-|142379679_142379804_-|142379447_142379575_-|142378556_142378899_-|142376641_142376731_-|142376317_142376401_-|142375529_142375656_-|142375278_142375407_-|142374381_142374538_-|142372538_142372647_-|142372293_142372434_-|142371502_142371583_-|142371195_142371368_-|142369750_142369871_-|142368483_142368680_-|142367878_142367958_-|142358958_142359045_-|142356336_142356463_-|142354898_142355005_-|142354612_142354731_-|142353786_142353976_-|142352265_142352438_-|142351679_142351778_-|142350592_142350810_-|142350315_142350428_-|142349431_142349573_-|142348713_142348838_-|142348248_142348442_-|142344950_142345174_-|142344142_142344232_-|142341763_142341925_-|142341578_142341642_-
32412at8509	Single	group1	104264728	104420965	+	24327	5029	0.9147	1.0	0	32412at8509_460621_0:001156	104264729_104264779_+|104276844_104276963_+|104277797_104277901_+|104284943_104285017_+|104288431_104288509_+|104290627_104290739_+|104291669_104291762_+|104291924_104292020_+|104292632_104292706_+|104293755_104293911_+|104294914_104295078_+|104296331_104296452_+|104296563_104296749_+|104298145_104298280_+|104298940_104299035_+|104299540_104299658_+|104300680_104300813_+|104301915_104302156_+|104304836_104305028_+|104305527_104305743_+|104307327_104307431_+|104308743_104308846_+|104310418_104310501_+|104310583_104310742_+|104312844_104312991_+|104313560_104313762_+|104314439_104314613_+|104316512_104316720_+|104317418_104317800_+|104318095_104318227_+|104319100_104319260_+|104320239_104320404_+|104322026_104322112_+|104322597_104322823_+|104324325_104325255_+|104327195_104327395_+|104328241_104328352_+|104329695_104329844_+|104330062_104330335_+|104331211_104331325_+|104332289_104332421_+|104333094_104333188_+|104333693_104333828_+|104335004_104335190_+|104336516_104336627_+|104338444_104338564_+|104339370_104339539_+|104339810_104340030_+|104340956_104341046_+|104341769_104341909_+|104343401_104343564_+|104344272_104344350_+|104345085_104345174_+|104345340_104345480_+|104346217_104346291_+|104346793_104346868_+|104346961_104347084_+|104348003_104348118_+|104348779_104348846_+|104349457_104349578_+|104349737_104349786_+|104350338_104350398_+|104351573_104351811_+|104352338_104352419_+|104352848_104352978_+|104355154_104355468_+|104357583_104357823_+|104359247_104359334_+|104360322_104360414_+|104364268_104364438_+|104364939_104364998_+|104365693_104365830_+|104366892_104367004_+|104367853_104367949_+|104368104_104368210_+|104369351_104369402_+|104370324_104370386_+|104374260_104374359_+|104376638_104376717_+|104378157_104378233_+|104379554_104379627_+|104387417_104387497_+|104388473_104388561_+|104390595_104390723_+|104391375_104391479_+|104392657_104392680_+|104396497_104396578_+|104398021_104399321_+|104406585_104406667_+|104407022_104407223_+|104409222_104409308_+|104410729_104411132_+|104412492_104412534_+|104413824_104413954_+|104414979_104415039_+|104415906_104416052_+|104416173_104416307_+|104416430_104416586_+|104417322_104417386_+|104417839_104417939_+|104419197_104419248_+|104420873_104420968_+
58813at8509	Single	group7	122096507	122237321	-	15817	4706	0.6516	1.0	0	58813at8509_146911_0:003b26	122237146_122237321_-|122216846_122217389_-|122216228_122216551_-|122205958_122207235_-|122166050_122167243_-|122159625_122164563_-|122157247_122159228_-|122152484_122154686_-|122149871_122150007_-|122136054_122136135_-|122134298_122134423_-|122130694_122130802_-|122129848_122129915_-|122124317_122124510_-|122123757_122123807_-|122121208_122121338_-|122120283_122120309_-|122115308_122115401_-|122113215_122113286_-|122110621_122110801_-|122109220_122109414_-|122107918_122108100_-|122104830_122105013_-|122104178_122104245_-|122101832_122101966_-|122099500_122099645_-|122096505_122096645_-
29242at8509	Single	group8	19778912	20001442	+	25401	4915	0.984	0.9997972836002432	0	29242at8509_94885_0:000a6d	19778913_19778966_+|19779000_19779119_+|19791386_19791490_+|19795153_19795173_+|19803895_19803969_+|19804605_19804683_+|19806496_19806608_+|19811026_19811125_+|19812844_19812940_+|19822093_19822167_+|19823465_19823621_+|19832081_19832245_+|19838309_19838430_+|19839081_19839264_+|19843095_19843230_+|19844330_19844425_+|19847170_19847288_+|19847458_19847591_+|19847811_19848052_+|19848364_19848556_+|19849316_19849532_+|19850677_19850781_+|19851664_19851767_+|19852357_19852440_+|19853522_19853681_+|19854410_19854557_+|19855719_19855927_+|19857460_19857634_+|19858845_19859053_+|19860932_19861278_+|19861730_19861844_+|19864053_19864213_+|19865768_19865927_+|19866167_19866253_+|19869129_19869355_+|19870264_19871065_+|19871540_19871740_+|19873349_19873454_+|19874169_19874312_+|19875246_19875519_+|19876856_19876970_+|19880395_19880527_+|19881016_19881119_+|19882055_19882190_+|19883010_19883196_+|19884550_19884646_+|19885682_19885802_+|19885937_19886106_+|19887048_19887268_+|19889136_19889226_+|19893821_19893961_+|19895106_19895269_+|19895993_19896071_+|19897334_19897423_+|19899616_19899753_+|19900594_19900671_+|19901255_19901330_+|19902287_19902413_+|19904037_19904152_+|19905445_19905509_+|19906438_19906559_+|19909826_19909875_+|19913206_19913266_+|19914604_19914842_+|19917460_19917541_+|19919016_19919137_+|19919828_19920148_+|19920512_19920752_+|19921220_19921307_+|19922119_19922211_+|19925819_19925989_+|19926958_19927017_+|19927333_19927467_+|19932036_19932148_+|19932425_19932521_+|19933988_19934091_+|19935652_19935706_+|19946729_19946828_+|19947388_19947467_+|19948336_19948412_+|19950719_19950792_+|19958978_19959058_+|19959270_19959358_+|19960342_19960470_+|19961658_19961762_+|19964712_19964793_+|19966287_19967590_+|19967967_19968034_+|19973688_19973835_+|19974481_19974567_+|19975580_19975798_+|19976689_19976819_+|19978081_19978123_+|19981543_19981676_+|19993021_19993081_+|19993542_19993688_+|19994223_19994357_+|19995239_19995395_+|19997075_19997139_+|19998517_19998617_+|19999354_19999405_+|20001350_20001445_+
30273at8509	Single	group8	28555690	28715382	+	23910	4851	0.9483	1.0	0	30273at8509_933632_0:000130	28555691_28555976_+|28565068_28565249_+|28566553_28566690_+|28567343_28567536_+|28568997_28569108_+|28571394_28571476_+|28572664_28572886_+|28572971_28573131_+|28573786_28573844_+|28574671_28576065_+|28580367_28580516_+|28580984_28581209_+|28582057_28582217_+|28582828_28582956_+|28585059_28585190_+|28585405_28585583_+|28586189_28586319_+|28594781_28594942_+|28595052_28595183_+|28595492_28595589_+|28596667_28596814_+|28598108_28598241_+|28599419_28599565_+|28604497_28604684_+|28605944_28606258_+|28606656_28606755_+|28607810_28608024_+|28608179_28608387_+|28608599_28608945_+|28612103_28612322_+|28612739_28612872_+|28613284_28613421_+|28616907_28617034_+|28617669_28617800_+|28618910_28619125_+|28620102_28620285_+|28621288_28621443_+|28623376_28623509_+|28624676_28624829_+|28625362_28625478_+|28626074_28626228_+|28627173_28627299_+|28629605_28629715_+|28631156_28631289_+|28631592_28631719_+|28634605_28635167_+|28636568_28636743_+|28637307_28637403_+|28637801_28637995_+|28640041_28640241_+|28641357_28641636_+|28642748_28643004_+|28643296_28643404_+|28645722_28645943_+|28647708_28648488_+|28649051_28649194_+|28652931_28653060_+|28653942_28654073_+|28656497_28656664_+|28657596_28657769_+|28661581_28661777_+|28664520_28664820_+|28667970_28668187_+|28669859_28670023_+|28670455_28670623_+|28700464_28700674_+|28703920_28704065_+|28704766_28704876_+|28705833_28706050_+|28706570_28706731_+|28707531_28707608_+|28708275_28708463_+|28713603_28713737_+|28715206_28715385_+
30740at8509	Single	group1	75763294	75805265	-	24273	4848	0.9588	1.0	0	30740at8509_103944_0:000eb2	75804336_75805265_-|75803482_75803577_-|75802604_75802798_-|75802186_75802497_-|75801903_75801999_-|75801606_75801749_-|75800847_75800974_-|75800177_75800321_-|75799917_75800092_-|75798816_75798946_-|75798236_75798401_-|75797895_75798020_-|75797396_75797617_-|75796817_75796969_-|75796487_75796619_-|75795845_75796036_-|75795505_75795726_-|75794746_75794919_-|75794169_75794287_-|75793963_75794076_-|75793482_75793653_-|75793037_75793346_-|75792457_75792577_-|75792160_75792211_-|75789456_75789724_-|75788664_75788879_-|75788419_75788539_-|75788044_75788281_-|75787451_75787641_-|75787104_75787259_-|75786833_75786939_-|75786261_75786371_-|75786003_75786179_-|75785416_75785655_-|75784971_75785054_-|75783970_75784481_-|75782616_75783382_-|75781717_75781915_-|75781455_75781615_-|75781235_75781351_-|75780622_75780853_-|75780323_75780447_-|75779440_75779660_-|75778177_75778445_-|75777384_75777436_-|75777084_75777284_-|75776495_75776669_-|75776134_75776404_-|75775589_75775802_-|75775263_75775468_-|75774829_75774956_-|75774374_75774501_-|75773630_75773830_-|75773335_75773465_-|75772940_75773139_-|75772245_75772359_-|75771815_75771961_-|75771496_75771597_-|75771218_75771391_-|75770538_75770831_-|75770188_75770253_-|75769988_75770113_-|75769686_75769824_-|75769185_75769366_-|75768868_75769023_-|75768610_75768732_-|75768046_75768148_-|75767764_75767933_-|75767545_75767683_-|75767146_75767315_-|75766523_75766692_-|75766263_75766428_-|75765397_75765473_-|75764782_75765034_-|75764391_75764543_-|75763883_75764188_-|75763292_75763477_-
20966at8509	Single	group4	55843743	55963952	-	24191	4833	0.9527	1.0	0	20966at8509_103695_0:002207	55963881_55963952_-|55943732_55943846_-|55942190_55942327_-|55938799_55939018_-|55937988_55938088_-|55937696_55937852_-|55936758_55936868_-|55936412_55936583_-|55935498_55935671_-|55934828_55935016_-|55933167_55933318_-|55931730_55931887_-|55930747_55930860_-|55929769_55930020_-|55928165_55928358_-|55926243_55926443_-|55925525_55925753_-|55925311_55925435_-|55923968_55924146_-|55922713_55922894_-|55921933_55922088_-|55921430_55921615_-|55920681_55920851_-|55920483_55920586_-|55918664_55918814_-|55917861_55918075_-|55916805_55916937_-|55915663_55915790_-|55915374_55915569_-|55914842_55914978_-|55913882_55914055_-|55913661_55913797_-|55912910_55913061_-|55912142_55912333_-|55911769_55911956_-|55911409_55911601_-|55910408_55910590_-|55909238_55909422_-|55906657_55906804_-|55906346_55906542_-|55905856_55906086_-|55905229_55905364_-|55903888_55904031_-|55899236_55899378_-|55897822_55898089_-|55897451_55897593_-|55897205_55897297_-|55894598_55894766_-|55894374_55894499_-|55891873_55891981_-|55891521_55891660_-|55891029_55891219_-|55890648_55890753_-|55890434_55890525_-|55888657_55888832_-|55885964_55886075_-|55883246_55883327_-|55882984_55883127_-|55881481_55881571_-|55880926_55881103_-|55880414_55880495_-|55878585_55878756_-|55877750_55877894_-|55876862_55877087_-|55876348_55876519_-|55875538_55875724_-|55874955_55875095_-|55873759_55873950_-|55867825_55867978_-|55867142_55867249_-|55866429_55866560_-|55865849_55866007_-|55865642_55865760_-|55865065_55865190_-|55864439_55864594_-|55864042_55864157_-|55863730_55863928_-|55862437_55862651_-|55861554_55861731_-|55860505_55860666_-|55859392_55859483_-|55858935_55859074_-|55857298_55857485_-|55856577_55856774_-|55856209_55856292_-|55854515_55854656_-|55853351_55853545_-|55853136_55853248_-|55847841_55848031_-|55847386_55847491_-|55845335_55845547_-|55843741_55844013_-
