# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
31391at8509	Complete	group2	148266589	148299956	-	18460	2623
13283at8509	Complete	group11	9405573	9591801	+	22900	5598
22203at8509	Complete	group4	34858653	34981718	+	26062	5493
29468at8509	Complete	group3	142341580	142490919	-	25133	5149
32412at8509	Complete	group3	104264728	104420965	+	24327	5029
58813at8509	Complete	group2	122096507	122237321	-	15817	4706
29242at8509	Complete	group9	19778912	20001442	+	25401	4915
30273at8509	Complete	group9	28555690	28715382	+	23910	4851
30740at8509	Complete	group3	75763294	75805265	-	24273	4848
20966at8509	Complete	group6	119533974	119654183	-	24191	4833
37330at8509	Complete	group11	16388035	16501549	-	23386	4806
56752at8509	Complete	group3	163754648	163799293	-	15641	4585
4768at8509	Complete	group4	140571940	140734372	+	23807	4380
42969at8509	Complete	group7	57363169	57464635	-	10797	4664
8129at8509	Complete	group7	97284336	97346246	+	23631	4638
895at8509	Complete	group5	158799547	159153289	+	24422	4618
21592at8509	Complete	group6	83466747	83609363	+	23902	4424
15558at8509	Complete	group10	53565862	53683060	+	22819	4584
23389at8509	Complete	group4	76645316	76700684	-	15440	4460
15079at8509	Complete	group6	53673394	53699188	+	23489	4576
50084at8509	Complete	group3	166552806	166576405	+	21349	4466
49281at8509	Complete	group11	51456451	51682271	-	19062	4469
18848at8509	Complete	group8	8749449	8907376	+	21855	4460
42563at8509	Complete	group5	150025190	150109702	-	21348	4355
40822at8509	Complete	group8	62359064	62442563	-	17174	4365
14943at8509	Complete	group3	111650198	111710507	+	19881	4272
23723at8509	Complete	group8	78282471	78485703	-	20201	4214
54690at8509	Complete	group3	19984850	19997336	-	15833	3676
22157at8509	Complete	group1	61301452	61379886	-	17099	4121
24414at8509	Complete	group3	128334157	128407950	-	19783	4042
54545at8509	Complete	group11	73316529	73444298	+	12416	3688
55775at8509	Complete	group3	18271525	18306651	-	17506	3597
41965at8509	Complete	group4	170806336	170913414	-	10939	1859
20375at8509	Complete	group3	127297768	127355563	+	17728	3642
17382at8509	Complete	group9	71587349	71744507	-	18207	3546
47729at8509	Complete	group4	184336365	184499694	+	14010	3476
50720at8509	Complete	group4	141982813	142309753	-	10737	3402
44887at8509	Complete	group3	140994138	141031311	-	15672	3162
20617at8509	Complete	group7	14819240	14930945	-	11889	3364
6215at8509	Complete	group2	152302365	152616631	-	17223	2885
19234at8509	Complete	group3	163697047	163724727	+	15758	3226
57343at8509	Complete	group2	217511764	217559953	+	8043	3201
27780at8509	Complete	group5	82804593	82929115	-	14202	3173
38591at8509	Complete	group8	92533974	92648433	+	14736	3039
51308at8509	Complete	group1	244101814	244126405	+	10564	2352
55453at8509	Complete	group4	103995362	104101418	+	11702	3149
32830at8509	Complete	group10	37109092	37176290	+	15578	3057
56839at8509	Complete	group6	13341568	13380288	-	6371	2493
34755at8509	Complete	group4	42341498	42475608	+	13984	3114
29609at8509	Complete	group10	79732830	79867296	+	14745	3005
25006at8509	Complete	group4	20728786	20805881	+	15047	3066
19698at8509	Complete	group1	51110750	51232655	+	15085	3066
26865at8509	Complete	group3	69560244	69635162	+	14049	3048
19389at8509	Complete	group3	70124425	70229833	-	15047	1702
22570at8509	Complete	group1	6763313	7063074	+	15680	3028
28398at8509	Complete	group6	111898623	111935759	-	14449	2937
24752at8509	Complete	group6	49996372	50150397	-	14835	2996
48778at8509	Complete	group1	66548445	66692684	+	15381	3002
18237at8509	Complete	group5	64661909	64745417	+	15002	2990
55479at8509	Complete	group5	184002571	184109004	-	14342	2877
41669at8509	Complete	group1	192318184	192440035	+	15240	2755
28947at8509	Complete	group3	23538004	23576016	-	13078	2872
50719at8509	Complete	group10	92997611	93083955	-	12159	3052
55441at8509	Complete	group2	199572711	199697172	+	11191	2852
45165at8509	Complete	group1	130268442	130317766	-	9403	2817
48062at8509	Complete	group5	60872577	60938384	+	13993	2825
4794at8509	Complete	group10	55628788	55994329	-	14734	2809
43858at8509	Complete	group2	178437129	178511788	+	11290	2775
44256at8509	Complete	group1	84458970	84539023	-	14384	2791
36180at8509	Complete	group5	23292080	23390628	+	13515	2761
47713at8509	Complete	group1	49131522	49277642	+	13338	2674
42034at8509	Complete	group1	168629100	168723084	-	12305	2757
94at8509	Complete	group3	67719978	67864675	+	15179	2727
57739at8509	Complete	group1	262023014	262099710	-	13239	2710
42149at8509	Complete	group6	122275949	122293339	-	12423	2570
54550at8509	Complete	group3	19518703	19551335	+	11393	2697
25933at8509	Complete	group4	36635176	36665889	-	10666	2701
25052at8509	Complete	group7	90134452	90278778	+	13139	2704
12867at8509	Complete	group14	18653780	18987033	+	14133	2703
38200at8509	Complete	group8	105747799	106000967	-	13928	2687
58291at8509	Complete	group1	30289749	30368983	+	9594	2623
61046at8509	Complete	group3	54498128	54513962	+	11019	2803
13011at8509	Complete	group8	36735748	37257566	+	13510	2597
57776at8509	Complete	group1	169559585	169602292	-	7745	2571
15449at8509	Complete	group1	189916591	190032879	-	13146	2663
8770at8509	Complete	group5	148630475	148711023	-	13610	2645
18368at8509	Complete	group2	37019369	37076981	+	11169	2646
51675at8509	Complete	group3	97001341	97051727	+	13131	2609
25146at8509	Complete	group8	70683205	70745864	+	9912	2633
42199at8509	Complete	group5	36703519	36780665	+	9013	2293
8689at8509	Complete	group8	91883865	91973995	+	13501	2622
28619at8509	Complete	group1	206051144	206131120	-	12772	2582
38809at8509	Complete	group7	132886785	132936390	-	7870	2236
52943at8509	Complete	group9	48025722	48060493	-	4801	2626
24472at8509	Complete	group2	31964790	31985431	+	11627	2423
52395at8509	Complete	group3	143885110	143914268	-	8623	2601
34045at8509	Complete	group7	52630486	52679860	+	9964	2510
36697at8509	Complete	group1	96691593	96808720	-	12350	2462
41913at8509	Complete	group6	10295089	10395676	+	8847	2590
31054at8509	Complete	group7	70917807	70981134	-	13061	2558
49422at8509	Complete	group9	29308907	29343176	-	8967	2043
11405at8509	Complete	group6	4014312	4123444	+	13483	2548
58215at8509	Complete	group2	191060966	191154679	-	12402	2506
16406at8509	Complete	group3	140532737	140597607	+	13061	2519
38327at8509	Complete	group3	169951128	169977858	-	12008	2540
55305at8509	Complete	group3	152353529	152463778	+	13649	2498
40786at8509	Complete	group11	13616889	13624452	-	7874	2446
38907at8509	Complete	group3	107070133	107095205	+	12086	2488
15236at8509	Complete	group1	254302149	254459476	-	12789	1472
11272at8509	Complete	group8	9918375	9959718	-	12509	2504
51430at8509	Complete	group3	19746793	19805681	+	10133	2117
26884at8509	Complete	group3	147228175	147262103	+	10203	2397
21681at8509	Complete	group5	114256769	114350350	-	12137	2483
52051at8509	Complete	group3	101525165	101572692	-	12019	2433
9412at8509	Complete	group9	8354272	8437167	+	10273	2459
33270at8509	Complete	group2	154356101	154461987	-	9797	2415
52146at8509	Complete	group7	34703782	35043519	-	11572	2461
52500at8509	Complete	group2	181736585	181844525	-	12941	2428
34281at8509	Complete	group6	31688345	31813103	-	5375	2285
46357at8509	Duplicated	group12	18052682	18115968	+	11881	2386
46357at8509	Duplicated	ptg000075l	332054	517326	+	11452	2386
12709at8509	Complete	group4	106272257	106377288	+	11037	2410
41789at8509	Complete	group8	28938505	29243192	+	11793	2464
22508at8509	Complete	group4	38428759	38479155	-	11559	2462
53915at8509	Complete	group3	95415252	95460507	+	8617	2414
60528at8509	Complete	group1	135339307	135387317	+	11844	2399
49713at8509	Complete	group8	5672812	5722039	+	11267	2431
47557at8509	Complete	group2	173090395	173155138	-	9821	2430
58395at8509	Complete	group3	134386399	134426945	-	10338	2421
58359at8509	Complete	group15	6166453	6252478	+	8238	1907
27268at8509	Complete	group3	53708141	53751742	+	8362	2404
46014at8509	Complete	group3	109499756	109529276	+	11690	2362
50258at8509	Complete	group12	77820909	77944966	-	10028	2249
24488at8509	Complete	group3	38322104	38379400	-	10092	2367
34049at8509	Complete	group4	1507053	1532485	+	10335	2436
34661at8509	Complete	group2	103206298	103247690	+	9920	2323
50975at8509	Complete	group5	42053159	42131037	-	9823	2341
2046at8509	Complete	group8	26413827	26499670	+	12436	2357
48163at8509	Complete	group2	167821916	168081095	+	11615	2386
37247at8509	Complete	group3	74014284	74057198	+	8756	2331
26018at8509	Complete	group3	180059590	180134923	+	10967	2320
50843at8509	Complete	group1	252463569	252525698	+	10392	2364
49583at8509	Complete	group4	152864652	152917191	-	6396	2278
27472at8509	Complete	group11	31496209	31576139	-	9370	2291
18888at8509	Complete	group9	66804279	66939864	+	11950	2351
52751at8509	Complete	group3	152476721	152541273	+	6481	2160
24717at8509	Complete	group7	55234680	55327909	+	11078	2323
47208at8509	Complete	group8	87318051	87426657	-	8506	2348
43847at8509	Complete	group9	24681849	24724793	-	10681	2331
37011at8509	Complete	group3	142945268	143064187	-	11043	2141
4277at8509	Complete	group3	161682884	161699092	+	12512	2293
57004at8509	Complete	group3	143433342	143465258	+	9413	2238
55721at8509	Complete	group1	234364824	234487484	+	10950	2306
45872at8509	Complete	group5	133112059	133177456	+	11712	2348
56916at8509	Complete	group12	83766261	83956761	+	5691	2097
54432at8509	Complete	group3	90722372	90823645	+	10520	2231
27312at8509	Complete	group6	14199253	14256371	+	8476	2215
23287at8509	Complete	group2	73035763	73151542	+	5875	562
15358at8509	Complete	group5	115715843	115818896	+	10051	2248
53144at8509	Complete	group5	132933138	132960288	-	7986	2263
16914at8509	Complete	group12	75617528	75735252	-	10975	2239
18201at8509	Complete	group9	80546505	80581402	+	10716	2218
54055at8509	Complete	group4	147831029	147940260	+	11085	2221
37666at8509	Complete	group8	10984067	11274456	-	10405	2137
33750at8509	Complete	group2	86978393	87117371	+	8953	2231
7589at8509	Complete	group2	164374878	164463049	-	9124	2208
22991at8509	Complete	group3	114580965	114726564	-	9349	1966
31366at8509	Complete	group5	161641528	161688931	-	6891	2170
8614at8509	Complete	group4	27381430	27649473	+	10311	2203
42627at8509	Complete	group12	51081247	51160983	-	9842	2276
45856at8509	Complete	group3	132503975	132538336	+	10660	2148
53169at8509	Complete	group7	60554376	60585275	-	8205	2288
37050at8509	Complete	group3	110711944	110745314	-	7049	2181
43764at8509	Complete	group2	182574869	182774085	-	9547	2037
19879at8509	Complete	group3	76265763	76315902	-	10176	2203
16157at8509	Complete	group4	4264101	4336353	-	10051	2171
41508at8509	Complete	group1	60369664	60499240	+	8685	2131
19721at8509	Complete	group5	186957829	187071812	-	10939	1611
27305at8509	Complete	group9	19408942	19451466	-	8459	2144
59089at8509	Complete	group5	148162375	148186272	+	9413	1977
15354at8509	Complete	group15	5692867	5743532	-	10579	2083
33772at8509	Complete	group9	17706128	17831946	-	8861	2070
8125at8509	Complete	group3	14391110	14440591	-	10903	2125
53009at8509	Complete	group4	171352043	171425347	+	7848	1350
28437at8509	Complete	group3	108728697	108743003	+	9667	2042
45149at8509	Complete	group8	88363054	88665675	+	10444	2108
49013at8509	Complete	group3	168341531	168452301	+	6262	1125
23167at8509	Complete	group4	100878067	100886371	+	5397	1902
54479at8509	Complete	group7	77177249	77241087	+	9685	1794
23160at8509	Complete	group1	210439769	210581269	-	10792	2084
36754at8509	Complete	group1	59492215	59546398	+	10291	1000
