Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
31391at8509	Single	group2	148266589	148299956	-	18460	2623	0.547	1.0	0	31391at8509_470340_0:000590	148294563_148299956_-|148293921_148294133_-|148282094_148284509_-|148278247_148281892_-|148266587_148274441_-
13283at8509	Single	group11	9405573	9591801	+	22900	5598	0.6826	1.0	0	13283at8509_933632_0:0034f5	9405574_9405662_+|9406279_9406452_+|9407071_9407153_+|9408384_9408554_+|9410925_9411172_+|9411466_9411568_+|9411976_9412134_+|9413507_9413589_+|9414998_9415126_+|9415918_9416068_+|9417294_9417534_+|9417868_9418006_+|9419029_9419155_+|9419924_9420096_+|9421188_9421409_+|9423475_9423640_+|9424685_9424937_+|9430247_9430427_+|9432297_9432391_+|9432480_9432736_+|9433892_9434026_+|9435783_9435985_+|9436138_9436265_+|9438695_9438804_+|9440029_9440184_+|9443329_9443422_+|9444164_9444567_+|9447070_9447300_+|9448271_9448477_+|9449767_9450003_+|9451533_9451655_+|9453629_9453723_+|9454481_9454718_+|9458199_9458351_+|9460309_9460449_+|9463155_9463337_+|9463467_9463617_+|9464014_9464173_+|9464256_9464310_+|9466261_9466383_+|9466480_9466698_+|9467086_9467213_+|9468414_9468555_+|9473780_9473944_+|9474970_9475153_+|9476329_9476380_+|9477998_9478049_+|9479397_9479517_+|9481076_9481298_+|9481760_9481901_+|9483869_9484234_+|9484848_9484994_+|9486668_9486838_+|9489524_9489688_+|9496577_9496756_+|9501007_9501129_+|9501224_9501353_+|9503391_9503516_+|9506808_9506899_+|9510747_9510926_+|9512195_9512359_+|9513559_9513811_+|9514657_9514703_+|9514884_9515042_+|9515814_9515948_+|9516456_9516604_+|9517265_9517359_+|9517458_9517510_+|9518903_9519073_+|9519922_9520092_+|9521028_9521107_+|9522846_9523015_+|9523116_9523162_+|9523486_9523686_+|9524390_9524560_+|9530996_9531193_+|9533764_9533860_+|9533965_9534188_+|9535276_9535425_+|9536516_9536682_+|9537387_9537550_+|9550649_9550869_+|9551296_9551337_+|9551860_9552030_+|9552136_9552345_+|9553621_9553788_+|9554013_9554144_+|9557825_9558068_+|9563450_9563602_+|9564111_9564157_+|9564343_9564516_+|9565721_9565903_+|9567292_9567447_+|9568004_9568134_+|9569062_9569186_+|9570046_9570092_+|9570383_9570649_+|9570735_9570896_+|9572258_9572374_+|9572488_9572626_+|9574397_9574599_+|9575420_9575581_+|9576304_9576431_+|9576797_9576948_+|9577566_9577612_+|9577782_9577932_+|9578529_9578740_+|9590022_9590117_+|9590321_9590381_+|9591280_9591410_+|9591508_9591658_+|9591782_9591804_+
22203at8509	Single	group4	34858653	34981718	+	26062	5493	0.904	1.0	0	22203at8509_176946_0:000579	34858654_34858752_+|34862422_34862648_+|34866506_34866730_+|34867931_34868038_+|34868144_34868336_+|34869089_34869304_+|34869888_34870019_+|34870813_34870916_+|34871748_34871862_+|34872064_34872251_+|34872865_34872946_+|34873338_34873433_+|34873819_34873931_+|34874749_34874897_+|34875165_34875225_+|34875728_34875939_+|34876708_34876811_+|34877839_34877983_+|34879420_34879516_+|34881954_34882067_+|34882352_34882499_+|34882650_34882757_+|34883524_34883675_+|34883957_34884135_+|34885748_34885956_+|34888951_34889097_+|34890920_34891061_+|34891446_34891580_+|34892067_34892196_+|34892642_34892780_+|34892867_34892997_+|34893275_34893410_+|34893665_34893794_+|34894063_34894296_+|34895014_34895211_+|34896584_34896792_+|34898088_34898210_+|34898873_34899070_+|34899336_34899443_+|34899845_34900033_+|34901310_34901399_+|34901505_34901765_+|34903029_34903299_+|34903652_34903811_+|34904598_34904714_+|34905273_34905481_+|34906626_34906771_+|34908157_34908359_+|34910149_34910369_+|34912858_34912971_+|34913623_34913755_+|34914277_34914386_+|34914976_34915109_+|34916416_34916576_+|34917164_34917284_+|34918324_34918534_+|34918679_34918901_+|34920495_34920621_+|34922317_34922484_+|34923787_34924001_+|34924575_34924962_+|34925570_34925679_+|34926095_34926794_+|34928407_34928568_+|34928776_34929049_+|34930608_34930843_+|34931165_34931260_+|34933099_34933193_+|34938560_34938684_+|34939208_34939345_+|34940570_34940679_+|34941044_34941117_+|34944381_34944576_+|34945185_34945341_+|34946818_34946964_+|34948710_34948836_+|34951729_34951834_+|34952611_34952726_+|34955497_34955958_+|34956364_34956593_+|34958233_34958367_+|34958546_34958718_+|34958948_34959109_+|34961056_34961190_+|34962184_34962319_+|34963289_34963461_+|34964694_34964834_+|34966291_34966429_+|34967343_34967599_+|34967820_34967984_+|34969139_34969240_+|34970753_34970954_+|34971783_34971956_+|34972197_34972351_+|34975156_34975236_+|34975795_34975913_+|34977446_34977620_+|34978846_34978919_+|34979020_34979134_+|34980275_34980338_+|34980987_34981129_+|34981533_34981721_+
29468at8509	Single	group3	142341580	142490919	-	25133	5149	0.9362	1.0	0	29468at8509_460621_0:004296	142490768_142490919_-|142487969_142488066_-|142486735_142486838_-|142486330_142486459_-|142486056_142486195_-|142485382_142485484_-|142483248_142483389_-|142481941_142482065_-|142480883_142481007_-|142480645_142480704_-|142478983_142479173_-|142477998_142478097_-|142477738_142477875_-|142477170_142477284_-|142476840_142477027_-|142476360_142476519_-|142474463_142474551_-|142473447_142473616_-|142472895_142473177_-|142471860_142471992_-|142471491_142471570_-|142469716_142469844_-|142469413_142469595_-|142467488_142467610_-|142464874_142465103_-|142464640_142464764_-|142462991_142463088_-|142461815_142461972_-|142461473_142461682_-|142460168_142460269_-|142458091_142458191_-|142457281_142457479_-|142455866_142456054_-|142455544_142455607_-|142453182_142453373_-|142452242_142452312_-|142451761_142451908_-|142450570_142450794_-|142450298_142450468_-|142449405_142449587_-|142448287_142448445_-|142446756_142446908_-|142445366_142445593_-|142444224_142444381_-|142441697_142441868_-|142440608_142440809_-|142439460_142439623_-|142439128_142439344_-|142438198_142438414_-|142426276_142426339_-|142425831_142425965_-|142424002_142424176_-|142423236_142423379_-|142422125_142422246_-|142420891_142421002_-|142418760_142418890_-|142418188_142418365_-|142417109_142417213_-|142414991_142415128_-|142414706_142414874_-|142413268_142413364_-|142412347_142412454_-|142408832_142408948_-|142402062_142402271_-|142395717_142395866_-|142394151_142394378_-|142392331_142392409_-|142391717_142391950_-|142391435_142391606_-|142388640_142388784_-|142388083_142388168_-|142387402_142387489_-|142386744_142386937_-|142380982_142381221_-|142380644_142380782_-|142379679_142379804_-|142379447_142379575_-|142378556_142378899_-|142376641_142376731_-|142376317_142376401_-|142375529_142375656_-|142375278_142375407_-|142374381_142374538_-|142372538_142372647_-|142372293_142372434_-|142371502_142371583_-|142371195_142371368_-|142369750_142369871_-|142368483_142368680_-|142367878_142367958_-|142358958_142359045_-|142356336_142356463_-|142354898_142355005_-|142354612_142354731_-|142353786_142353976_-|142352265_142352438_-|142351679_142351778_-|142350592_142350810_-|142350315_142350428_-|142349431_142349573_-|142348713_142348838_-|142348248_142348442_-|142344950_142345174_-|142344142_142344232_-|142341763_142341925_-|142341578_142341642_-
32412at8509	Single	group3	104264728	104420965	+	24327	5029	0.9147	1.0	0	32412at8509_460621_0:001156	104264729_104264779_+|104276844_104276963_+|104277797_104277901_+|104284943_104285017_+|104288431_104288509_+|104290627_104290739_+|104291669_104291762_+|104291924_104292020_+|104292632_104292706_+|104293755_104293911_+|104294914_104295078_+|104296331_104296452_+|104296563_104296749_+|104298145_104298280_+|104298940_104299035_+|104299540_104299658_+|104300680_104300813_+|104301915_104302156_+|104304836_104305028_+|104305527_104305743_+|104307327_104307431_+|104308743_104308846_+|104310418_104310501_+|104310583_104310742_+|104312844_104312991_+|104313560_104313762_+|104314439_104314613_+|104316512_104316720_+|104317418_104317800_+|104318095_104318227_+|104319100_104319260_+|104320239_104320404_+|104322026_104322112_+|104322597_104322823_+|104324325_104325255_+|104327195_104327395_+|104328241_104328352_+|104329695_104329844_+|104330062_104330335_+|104331211_104331325_+|104332289_104332421_+|104333094_104333188_+|104333693_104333828_+|104335004_104335190_+|104336516_104336627_+|104338444_104338564_+|104339370_104339539_+|104339810_104340030_+|104340956_104341046_+|104341769_104341909_+|104343401_104343564_+|104344272_104344350_+|104345085_104345174_+|104345340_104345480_+|104346217_104346291_+|104346793_104346868_+|104346961_104347084_+|104348003_104348118_+|104348779_104348846_+|104349457_104349578_+|104349737_104349786_+|104350338_104350398_+|104351573_104351811_+|104352338_104352419_+|104352848_104352978_+|104355154_104355468_+|104357583_104357823_+|104359247_104359334_+|104360322_104360414_+|104364268_104364438_+|104364939_104364998_+|104365693_104365830_+|104366892_104367004_+|104367853_104367949_+|104368104_104368210_+|104369351_104369402_+|104370324_104370386_+|104374260_104374359_+|104376638_104376717_+|104378157_104378233_+|104379554_104379627_+|104387417_104387497_+|104388473_104388561_+|104390595_104390723_+|104391375_104391479_+|104392657_104392680_+|104396497_104396578_+|104398021_104399321_+|104406585_104406667_+|104407022_104407223_+|104409222_104409308_+|104410729_104411132_+|104412492_104412534_+|104413824_104413954_+|104414979_104415039_+|104415906_104416052_+|104416173_104416307_+|104416430_104416586_+|104417322_104417386_+|104417839_104417939_+|104419197_104419248_+|104420873_104420968_+
58813at8509	Single	group2	122096507	122237321	-	15817	4706	0.6516	1.0	0	58813at8509_146911_0:003b26	122237146_122237321_-|122216846_122217389_-|122216228_122216551_-|122205958_122207235_-|122166050_122167243_-|122159625_122164563_-|122157247_122159228_-|122152484_122154686_-|122149871_122150007_-|122136054_122136135_-|122134298_122134423_-|122130694_122130802_-|122129848_122129915_-|122124317_122124510_-|122123757_122123807_-|122121208_122121338_-|122120283_122120309_-|122115308_122115401_-|122113215_122113286_-|122110621_122110801_-|122109220_122109414_-|122107918_122108100_-|122104830_122105013_-|122104178_122104245_-|122101832_122101966_-|122099500_122099645_-|122096505_122096645_-
29242at8509	Single	group9	19778912	20001442	+	25401	4915	0.984	0.9997972836002432	0	29242at8509_94885_0:000a6d	19778913_19778966_+|19779000_19779119_+|19791386_19791490_+|19795153_19795173_+|19803895_19803969_+|19804605_19804683_+|19806496_19806608_+|19811026_19811125_+|19812844_19812940_+|19822093_19822167_+|19823465_19823621_+|19832081_19832245_+|19838309_19838430_+|19839081_19839264_+|19843095_19843230_+|19844330_19844425_+|19847170_19847288_+|19847458_19847591_+|19847811_19848052_+|19848364_19848556_+|19849316_19849532_+|19850677_19850781_+|19851664_19851767_+|19852357_19852440_+|19853522_19853681_+|19854410_19854557_+|19855719_19855927_+|19857460_19857634_+|19858845_19859053_+|19860932_19861278_+|19861730_19861844_+|19864053_19864213_+|19865768_19865927_+|19866167_19866253_+|19869129_19869355_+|19870264_19871065_+|19871540_19871740_+|19873349_19873454_+|19874169_19874312_+|19875246_19875519_+|19876856_19876970_+|19880395_19880527_+|19881016_19881119_+|19882055_19882190_+|19883010_19883196_+|19884550_19884646_+|19885682_19885802_+|19885937_19886106_+|19887048_19887268_+|19889136_19889226_+|19893821_19893961_+|19895106_19895269_+|19895993_19896071_+|19897334_19897423_+|19899616_19899753_+|19900594_19900671_+|19901255_19901330_+|19902287_19902413_+|19904037_19904152_+|19905445_19905509_+|19906438_19906559_+|19909826_19909875_+|19913206_19913266_+|19914604_19914842_+|19917460_19917541_+|19919016_19919137_+|19919828_19920148_+|19920512_19920752_+|19921220_19921307_+|19922119_19922211_+|19925819_19925989_+|19926958_19927017_+|19927333_19927467_+|19932036_19932148_+|19932425_19932521_+|19933988_19934091_+|19935652_19935706_+|19946729_19946828_+|19947388_19947467_+|19948336_19948412_+|19950719_19950792_+|19958978_19959058_+|19959270_19959358_+|19960342_19960470_+|19961658_19961762_+|19964712_19964793_+|19966287_19967590_+|19967967_19968034_+|19973688_19973835_+|19974481_19974567_+|19975580_19975798_+|19976689_19976819_+|19978081_19978123_+|19981543_19981676_+|19993021_19993081_+|19993542_19993688_+|19994223_19994357_+|19995239_19995395_+|19997075_19997139_+|19998517_19998617_+|19999354_19999405_+|20001350_20001445_+
30273at8509	Single	group9	28555690	28715382	+	23910	4851	0.9483	1.0	0	30273at8509_933632_0:000130	28555691_28555976_+|28565068_28565249_+|28566553_28566690_+|28567343_28567536_+|28568997_28569108_+|28571394_28571476_+|28572664_28572886_+|28572971_28573131_+|28573786_28573844_+|28574671_28576065_+|28580367_28580516_+|28580984_28581209_+|28582057_28582217_+|28582828_28582956_+|28585059_28585190_+|28585405_28585583_+|28586189_28586319_+|28594781_28594942_+|28595052_28595183_+|28595492_28595589_+|28596667_28596814_+|28598108_28598241_+|28599419_28599565_+|28604497_28604684_+|28605944_28606258_+|28606656_28606755_+|28607810_28608024_+|28608179_28608387_+|28608599_28608945_+|28612103_28612322_+|28612739_28612872_+|28613284_28613421_+|28616907_28617034_+|28617669_28617800_+|28618910_28619125_+|28620102_28620285_+|28621288_28621443_+|28623376_28623509_+|28624676_28624829_+|28625362_28625478_+|28626074_28626228_+|28627173_28627299_+|28629605_28629715_+|28631156_28631289_+|28631592_28631719_+|28634605_28635167_+|28636568_28636743_+|28637307_28637403_+|28637801_28637995_+|28640041_28640241_+|28641357_28641636_+|28642748_28643004_+|28643296_28643404_+|28645722_28645943_+|28647708_28648488_+|28649051_28649194_+|28652931_28653060_+|28653942_28654073_+|28656497_28656664_+|28657596_28657769_+|28661581_28661777_+|28664520_28664820_+|28667970_28668187_+|28669859_28670023_+|28670455_28670623_+|28700464_28700674_+|28703920_28704065_+|28704766_28704876_+|28705833_28706050_+|28706570_28706731_+|28707531_28707608_+|28708275_28708463_+|28713603_28713737_+|28715206_28715385_+
30740at8509	Single	group3	75763294	75805265	-	24273	4848	0.9588	1.0	0	30740at8509_103944_0:000eb2	75804336_75805265_-|75803482_75803577_-|75802604_75802798_-|75802186_75802497_-|75801903_75801999_-|75801606_75801749_-|75800847_75800974_-|75800177_75800321_-|75799917_75800092_-|75798816_75798946_-|75798236_75798401_-|75797895_75798020_-|75797396_75797617_-|75796817_75796969_-|75796487_75796619_-|75795845_75796036_-|75795505_75795726_-|75794746_75794919_-|75794169_75794287_-|75793963_75794076_-|75793482_75793653_-|75793037_75793346_-|75792457_75792577_-|75792160_75792211_-|75789456_75789724_-|75788664_75788879_-|75788419_75788539_-|75788044_75788281_-|75787451_75787641_-|75787104_75787259_-|75786833_75786939_-|75786261_75786371_-|75786003_75786179_-|75785416_75785655_-|75784971_75785054_-|75783970_75784481_-|75782616_75783382_-|75781717_75781915_-|75781455_75781615_-|75781235_75781351_-|75780622_75780853_-|75780323_75780447_-|75779440_75779660_-|75778177_75778445_-|75777384_75777436_-|75777084_75777284_-|75776495_75776669_-|75776134_75776404_-|75775589_75775802_-|75775263_75775468_-|75774829_75774956_-|75774374_75774501_-|75773630_75773830_-|75773335_75773465_-|75772940_75773139_-|75772245_75772359_-|75771815_75771961_-|75771496_75771597_-|75771218_75771391_-|75770538_75770831_-|75770188_75770253_-|75769988_75770113_-|75769686_75769824_-|75769185_75769366_-|75768868_75769023_-|75768610_75768732_-|75768046_75768148_-|75767764_75767933_-|75767545_75767683_-|75767146_75767315_-|75766523_75766692_-|75766263_75766428_-|75765397_75765473_-|75764782_75765034_-|75764391_75764543_-|75763883_75764188_-|75763292_75763477_-
20966at8509	Single	group6	119533974	119654183	-	24191	4833	0.9527	1.0	0	20966at8509_103695_0:002207	119654112_119654183_-|119633963_119634077_-|119632421_119632558_-|119629030_119629249_-|119628219_119628319_-|119627927_119628083_-|119626989_119627099_-|119626643_119626814_-|119625729_119625902_-|119625059_119625247_-|119623398_119623549_-|119621961_119622118_-|119620978_119621091_-|119620000_119620251_-|119618396_119618589_-|119616474_119616674_-|119615756_119615984_-|119615542_119615666_-|119614199_119614377_-|119612944_119613125_-|119612164_119612319_-|119611661_119611846_-|119610912_119611082_-|119610714_119610817_-|119608895_119609045_-|119608092_119608306_-|119607036_119607168_-|119605894_119606021_-|119605605_119605800_-|119605073_119605209_-|119604113_119604286_-|119603892_119604028_-|119603141_119603292_-|119602373_119602564_-|119602000_119602187_-|119601640_119601832_-|119600639_119600821_-|119599469_119599653_-|119596888_119597035_-|119596577_119596773_-|119596087_119596317_-|119595460_119595595_-|119594119_119594262_-|119589467_119589609_-|119588053_119588320_-|119587682_119587824_-|119587436_119587528_-|119584829_119584997_-|119584605_119584730_-|119582104_119582212_-|119581752_119581891_-|119581260_119581450_-|119580879_119580984_-|119580665_119580756_-|119578888_119579063_-|119576195_119576306_-|119573477_119573558_-|119573215_119573358_-|119571712_119571802_-|119571157_119571334_-|119570645_119570726_-|119568816_119568987_-|119567981_119568125_-|119567093_119567318_-|119566579_119566750_-|119565769_119565955_-|119565186_119565326_-|119563990_119564181_-|119558056_119558209_-|119557373_119557480_-|119556660_119556791_-|119556080_119556238_-|119555873_119555991_-|119555296_119555421_-|119554670_119554825_-|119554273_119554388_-|119553961_119554159_-|119552668_119552882_-|119551785_119551962_-|119550736_119550897_-|119549623_119549714_-|119549166_119549305_-|119547529_119547716_-|119546808_119547005_-|119546440_119546523_-|119544746_119544887_-|119543582_119543776_-|119543367_119543479_-|119538072_119538262_-|119537617_119537722_-|119535566_119535778_-|119533972_119534244_-
