# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
31391at8509	Complete	ptg000124l	8395791	8429158	+	18460	2623
13283at8509	Complete	ptg000227l	121095	307323	+	22900	5598
22203at8509	Complete	ptg000017l	34858653	34981718	+	26062	5493
29468at8509	Complete	ptg000697l	181014	330353	-	25133	5149
32412at8509	Complete	ptg000714l	336343	492580	+	24327	5029
58813at8509	Complete	ptg000250l	1092215	1233029	-	15817	4706
29242at8509	Complete	ptg000038l	52566081	52788611	-	25401	4915
30273at8509	Complete	ptg000038l	43852141	44011833	-	23910	4851
30740at8509	Complete	ptg000290l	650722	692693	+	24273	4848
20966at8509	Complete	ptg000039l	15955133	16075342	-	24191	4833
37330at8509	Complete	ptg000103l	18614803	18728317	+	23386	4806
56752at8509	Complete	ptg000674l	109156	153801	-	15641	4585
4768at8509	Complete	ptg000357l	6963115	7125547	+	23807	4380
8129at8509	Complete	ptg000024l	13792267	13854177	-	23631	4638
895at8509	Complete	ptg000619l	561152	914894	-	24422	4618
21592at8509	Complete	ptg000154l	254136	396752	+	23902	4424
15558at8509	Complete	ptg000003l	12227602	12344800	-	22819	4584
23389at8509	Complete	ptg000017l	76645316	76700684	-	15440	4460
15079at8509	Complete	ptg000009l	9990943	10016737	-	23489	4576
42969at8509	Complete	ptg000024l	53673878	53775344	+	20420	4664
50084at8509	Complete	ptg000095l	513547	537146	+	21349	4466
49281at8509	Complete	ptg000001l	16339999	16565819	-	19062	4469
18848at8509	Complete	ptg000021l	105975817	106133744	-	21855	4460
42563at8509	Complete	ptg000074l	5209779	5294291	+	21348	4355
40822at8509	Complete	ptg000021l	52440630	52524129	+	17174	4365
14943at8509	Complete	ptg000293l	194677	254986	+	19881	4272
23723at8509	Complete	ptg000021l	36397490	36600722	+	20201	4214
54690at8509	Complete	ptg000428l	1916775	1929261	+	15833	3676
22157at8509	Complete	ptg000027l	28932834	29011268	+	17099	4121
24414at8509	Complete	ptg000234l	897523	971316	+	19783	4042
54545at8509	Complete	ptg000012l	21328585	21456354	-	12416	3688
55775at8509	Complete	ptg000345l	431453	466579	-	17506	3597
41965at8509	Complete	ptg000357l	37197511	37304589	-	10939	1859
20375at8509	Complete	ptg000234l	1949910	2007705	-	17728	3642
17382at8509	Complete	ptg000038l	823016	980174	+	18207	3546
47729at8509	Complete	ptg000357l	50727540	50890869	+	14010	3476
50720at8509	Complete	ptg000357l	8373988	8700928	-	10737	3402
44887at8509	Complete	ptg000265l	242659	279832	+	15672	3162
20617at8509	Complete	ptg000024l	96207568	96319273	+	11889	3364
6215at8509	Complete	ptg000124l	4079116	4393382	+	17223	2885
19234at8509	Complete	ptg000674l	51555	79235	+	15758	3226
57343at8509	Complete	ptg000216l	134874	183063	-	8043	3201
27780at8509	Complete	ptg000006l	13568764	13693286	+	14202	3173
38591at8509	Complete	ptg000021l	22234760	22349219	-	14736	3039
51308at8509	Complete	ptg000005l	14564821	14589412	+	10564	2352
55453at8509	Complete	ptg000017l	103995362	104101418	+	11702	3149
32830at8509	Complete	ptg000003l	28734372	28801570	-	15578	3057
56839at8509	Complete	ptg000009l	50309843	50348563	+	6371	2493
34755at8509	Complete	ptg000017l	42341498	42475608	+	13984	3114
29609at8509	Complete	ptg000279l	953385	1087851	+	14745	3005
25006at8509	Complete	ptg000017l	20728786	20805881	+	15047	3066
19698at8509	Complete	ptg000027l	39080065	39201970	-	15085	3066
26865at8509	Complete	ptg000190l	3380111	3455029	+	14049	3048
19389at8509	Complete	ptg000190l	3944292	4049700	-	15047	1702
22570at8509	Complete	ptg000093l	22415168	22714929	-	15680	3028
28398at8509	Complete	ptg000039l	8319782	8356918	-	14449	2937
24752at8509	Complete	ptg000009l	13539734	13693759	+	14835	2996
48778at8509	Complete	ptg000027l	23620036	23764275	-	15381	3002
18237at8509	Complete	ptg000006l	31752462	31835970	-	15002	2990
55479at8509	Complete	ptg000125l	24288030	24394463	-	14342	2877
41669at8509	Complete	ptg000011l	37096858	37218709	-	15240	2755
28947at8509	Complete	ptg000085l	7530681	7568693	+	13078	2872
50719at8509	Complete	ptg000105l	1773248	1859592	+	12159	3052
55441at8509	Complete	ptg000020l	42041694	42166155	+	11191	2852
45165at8509	Complete	ptg000432l	443243	492567	-	9403	2817
48062at8509	Complete	ptg000006l	35559495	35625302	-	13993	2825
4794at8509	Complete	ptg000003l	9916333	10281874	+	14734	2809
43858at8509	Complete	ptg000020l	20906112	20980771	+	11290	2775
44256at8509	Complete	ptg000027l	5773697	5853750	+	14384	2791
36180at8509	Complete	ptg000006l	73107251	73205799	-	13515	2761
47713at8509	Complete	ptg000027l	41035078	41181198	-	13338	2674
42034at8509	Complete	ptg000011l	60813809	60907793	+	12305	2757
94at8509	Complete	ptg000190l	1539845	1684542	+	15179	2727
57739at8509	Complete	ptg000005l	32486021	32562717	-	13239	2710
42149at8509	Complete	ptg000039l	18697108	18714498	-	12423	2570
54550at8509	Complete	ptg000428l	2362776	2395408	-	11393	2697
25933at8509	Complete	ptg000017l	36635176	36665889	-	10666	2701
25052at8509	Complete	ptg000024l	20859735	21004061	-	13139	2704
12867at8509	Complete	ptg000167l	3467132	3800385	+	14133	2703
38200at8509	Complete	ptg000021l	8882226	9135394	+	13928	2687
58291at8509	Complete	ptg000027l	59943737	60022971	-	9594	2623
61046at8509	Complete	ptg000164l	827521	843355	+	11019	2803
