Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
31391at8509	Single	ptg000124l	8395791	8429158	+	18460	2623	0.547	1.0	0	31391at8509_470340_0:000590	8395792_8401185_+|8401615_8401827_+|8411239_8413654_+|8413856_8417501_+|8421307_8429161_+
13283at8509	Single	ptg000227l	121095	307323	+	22900	5598	0.6826	1.0	0	13283at8509_933632_0:0034f5	121096_121184_+|121801_121974_+|122593_122675_+|123906_124076_+|126447_126694_+|126988_127090_+|127498_127656_+|129029_129111_+|130520_130648_+|131440_131590_+|132816_133056_+|133390_133528_+|134551_134677_+|135446_135618_+|136710_136931_+|138997_139162_+|140207_140459_+|145769_145949_+|147819_147913_+|148002_148258_+|149414_149548_+|151305_151507_+|151660_151787_+|154217_154326_+|155551_155706_+|158851_158944_+|159686_160089_+|162592_162822_+|163793_163999_+|165289_165525_+|167055_167177_+|169151_169245_+|170003_170240_+|173721_173873_+|175831_175971_+|178677_178859_+|178989_179139_+|179536_179695_+|179778_179832_+|181783_181905_+|182002_182220_+|182608_182735_+|183936_184077_+|189302_189466_+|190492_190675_+|191851_191902_+|193520_193571_+|194919_195039_+|196598_196820_+|197282_197423_+|199391_199756_+|200370_200516_+|202190_202360_+|205046_205210_+|212099_212278_+|216529_216651_+|216746_216875_+|218913_219038_+|222330_222421_+|226269_226448_+|227717_227881_+|229081_229333_+|230179_230225_+|230406_230564_+|231336_231470_+|231978_232126_+|232787_232881_+|232980_233032_+|234425_234595_+|235444_235614_+|236550_236629_+|238368_238537_+|238638_238684_+|239008_239208_+|239912_240082_+|246518_246715_+|249286_249382_+|249487_249710_+|250798_250947_+|252038_252204_+|252909_253072_+|266171_266391_+|266818_266859_+|267382_267552_+|267658_267867_+|269143_269310_+|269535_269666_+|273347_273590_+|278972_279124_+|279633_279679_+|279865_280038_+|281243_281425_+|282814_282969_+|283526_283656_+|284584_284708_+|285568_285614_+|285905_286171_+|286257_286418_+|287780_287896_+|288010_288148_+|289919_290121_+|290942_291103_+|291826_291953_+|292319_292470_+|293088_293134_+|293304_293454_+|294051_294262_+|305544_305639_+|305843_305903_+|306802_306932_+|307030_307180_+|307304_307326_+
22203at8509	Single	ptg000017l	34858653	34981718	+	26062	5493	0.904	1.0	0	22203at8509_176946_0:000579	34858654_34858752_+|34862422_34862648_+|34866506_34866730_+|34867931_34868038_+|34868144_34868336_+|34869089_34869304_+|34869888_34870019_+|34870813_34870916_+|34871748_34871862_+|34872064_34872251_+|34872865_34872946_+|34873338_34873433_+|34873819_34873931_+|34874749_34874897_+|34875165_34875225_+|34875728_34875939_+|34876708_34876811_+|34877839_34877983_+|34879420_34879516_+|34881954_34882067_+|34882352_34882499_+|34882650_34882757_+|34883524_34883675_+|34883957_34884135_+|34885748_34885956_+|34888951_34889097_+|34890920_34891061_+|34891446_34891580_+|34892067_34892196_+|34892642_34892780_+|34892867_34892997_+|34893275_34893410_+|34893665_34893794_+|34894063_34894296_+|34895014_34895211_+|34896584_34896792_+|34898088_34898210_+|34898873_34899070_+|34899336_34899443_+|34899845_34900033_+|34901310_34901399_+|34901505_34901765_+|34903029_34903299_+|34903652_34903811_+|34904598_34904714_+|34905273_34905481_+|34906626_34906771_+|34908157_34908359_+|34910149_34910369_+|34912858_34912971_+|34913623_34913755_+|34914277_34914386_+|34914976_34915109_+|34916416_34916576_+|34917164_34917284_+|34918324_34918534_+|34918679_34918901_+|34920495_34920621_+|34922317_34922484_+|34923787_34924001_+|34924575_34924962_+|34925570_34925679_+|34926095_34926794_+|34928407_34928568_+|34928776_34929049_+|34930608_34930843_+|34931165_34931260_+|34933099_34933193_+|34938560_34938684_+|34939208_34939345_+|34940570_34940679_+|34941044_34941117_+|34944381_34944576_+|34945185_34945341_+|34946818_34946964_+|34948710_34948836_+|34951729_34951834_+|34952611_34952726_+|34955497_34955958_+|34956364_34956593_+|34958233_34958367_+|34958546_34958718_+|34958948_34959109_+|34961056_34961190_+|34962184_34962319_+|34963289_34963461_+|34964694_34964834_+|34966291_34966429_+|34967343_34967599_+|34967820_34967984_+|34969139_34969240_+|34970753_34970954_+|34971783_34971956_+|34972197_34972351_+|34975156_34975236_+|34975795_34975913_+|34977446_34977620_+|34978846_34978919_+|34979020_34979134_+|34980275_34980338_+|34980987_34981129_+|34981533_34981721_+
29468at8509	Single	ptg000697l	181014	330353	-	25133	5149	0.9362	1.0	0	29468at8509_460621_0:004296	330202_330353_-|327403_327500_-|326169_326272_-|325764_325893_-|325490_325629_-|324816_324918_-|322682_322823_-|321375_321499_-|320317_320441_-|320079_320138_-|318417_318607_-|317432_317531_-|317172_317309_-|316604_316718_-|316274_316461_-|315794_315953_-|313897_313985_-|312881_313050_-|312329_312611_-|311294_311426_-|310925_311004_-|309150_309278_-|308847_309029_-|306922_307044_-|304308_304537_-|304074_304198_-|302425_302522_-|301249_301406_-|300907_301116_-|299602_299703_-|297525_297625_-|296715_296913_-|295300_295488_-|294978_295041_-|292616_292807_-|291676_291746_-|291195_291342_-|290004_290228_-|289732_289902_-|288839_289021_-|287721_287879_-|286190_286342_-|284800_285027_-|283658_283815_-|281131_281302_-|280042_280243_-|278894_279057_-|278562_278778_-|277632_277848_-|265710_265773_-|265265_265399_-|263436_263610_-|262670_262813_-|261559_261680_-|260325_260436_-|258194_258324_-|257622_257799_-|256543_256647_-|254425_254562_-|254140_254308_-|252702_252798_-|251781_251888_-|248266_248382_-|241496_241705_-|235151_235300_-|233585_233812_-|231765_231843_-|231151_231384_-|230869_231040_-|228074_228218_-|227517_227602_-|226836_226923_-|226178_226371_-|220416_220655_-|220078_220216_-|219113_219238_-|218881_219009_-|217990_218333_-|216075_216165_-|215751_215835_-|214963_215090_-|214712_214841_-|213815_213972_-|211972_212081_-|211727_211868_-|210936_211017_-|210629_210802_-|209184_209305_-|207917_208114_-|207312_207392_-|198392_198479_-|195770_195897_-|194332_194439_-|194046_194165_-|193220_193410_-|191699_191872_-|191113_191212_-|190026_190244_-|189749_189862_-|188865_189007_-|188147_188272_-|187682_187876_-|184384_184608_-|183576_183666_-|181197_181359_-|181012_181076_-
32412at8509	Single	ptg000714l	336343	492580	+	24327	5029	0.9147	1.0	0	32412at8509_460621_0:001156	336344_336394_+|348459_348578_+|349412_349516_+|356558_356632_+|360046_360124_+|362242_362354_+|363284_363377_+|363539_363635_+|364247_364321_+|365370_365526_+|366529_366693_+|367946_368067_+|368178_368364_+|369760_369895_+|370555_370650_+|371155_371273_+|372295_372428_+|373530_373771_+|376451_376643_+|377142_377358_+|378942_379046_+|380358_380461_+|382033_382116_+|382198_382357_+|384459_384606_+|385175_385377_+|386054_386228_+|388127_388335_+|389033_389415_+|389710_389842_+|390715_390875_+|391854_392019_+|393641_393727_+|394212_394438_+|395940_396870_+|398810_399010_+|399856_399967_+|401310_401459_+|401677_401950_+|402826_402940_+|403904_404036_+|404709_404803_+|405308_405443_+|406619_406805_+|408131_408242_+|410059_410179_+|410985_411154_+|411425_411645_+|412571_412661_+|413384_413524_+|415016_415179_+|415887_415965_+|416700_416789_+|416955_417095_+|417832_417906_+|418408_418483_+|418576_418699_+|419618_419733_+|420394_420461_+|421072_421193_+|421352_421401_+|421953_422013_+|423188_423426_+|423953_424034_+|424463_424593_+|426769_427083_+|429198_429438_+|430862_430949_+|431937_432029_+|435883_436053_+|436554_436613_+|437308_437445_+|438507_438619_+|439468_439564_+|439719_439825_+|440966_441017_+|441939_442001_+|445875_445974_+|448253_448332_+|449772_449848_+|451169_451242_+|459032_459112_+|460088_460176_+|462210_462338_+|462990_463094_+|464272_464295_+|468112_468193_+|469636_470936_+|478200_478282_+|478637_478838_+|480837_480923_+|482344_482747_+|484107_484149_+|485439_485569_+|486594_486654_+|487521_487667_+|487788_487922_+|488045_488201_+|488937_489001_+|489454_489554_+|490812_490863_+|492488_492583_+
58813at8509	Single	ptg000250l	1092215	1233029	-	15817	4706	0.6516	1.0	0	58813at8509_146911_0:003b26	1232854_1233029_-|1212554_1213097_-|1211936_1212259_-|1201666_1202943_-|1161758_1162951_-|1155333_1160271_-|1152955_1154936_-|1148192_1150394_-|1145579_1145715_-|1131762_1131843_-|1130006_1130131_-|1126402_1126510_-|1125556_1125623_-|1120025_1120218_-|1119465_1119515_-|1116916_1117046_-|1115991_1116017_-|1111016_1111109_-|1108923_1108994_-|1106329_1106509_-|1104928_1105122_-|1103626_1103808_-|1100538_1100721_-|1099886_1099953_-|1097540_1097674_-|1095208_1095353_-|1092213_1092353_-
29242at8509	Single	ptg000038l	52566081	52788611	-	25401	4915	0.984	0.9997972836002432	0	29242at8509_94885_0:000a6d	52788558_52788611_-|52788405_52788524_-|52776034_52776138_-|52772351_52772371_-|52763555_52763629_-|52762841_52762919_-|52760916_52761028_-|52756399_52756498_-|52754584_52754680_-|52745357_52745431_-|52743903_52744059_-|52735279_52735443_-|52729094_52729215_-|52728260_52728443_-|52724294_52724429_-|52723099_52723194_-|52720236_52720354_-|52719933_52720066_-|52719472_52719713_-|52718968_52719160_-|52717992_52718208_-|52716743_52716847_-|52715757_52715860_-|52715084_52715167_-|52713843_52714002_-|52712967_52713114_-|52711597_52711805_-|52709890_52710064_-|52708471_52708679_-|52706246_52706592_-|52705680_52705794_-|52703311_52703471_-|52701597_52701756_-|52701271_52701357_-|52698169_52698395_-|52696459_52697260_-|52695784_52695984_-|52694070_52694175_-|52693212_52693355_-|52692005_52692278_-|52690554_52690668_-|52686997_52687129_-|52686405_52686508_-|52685334_52685469_-|52684328_52684514_-|52682878_52682974_-|52681722_52681842_-|52681418_52681587_-|52680256_52680476_-|52678298_52678388_-|52673563_52673703_-|52672255_52672418_-|52671453_52671531_-|52670101_52670190_-|52667771_52667908_-|52666853_52666930_-|52666194_52666269_-|52665111_52665237_-|52663372_52663487_-|52662015_52662079_-|52660965_52661086_-|52657649_52657698_-|52654258_52654318_-|52652682_52652920_-|52649983_52650064_-|52648387_52648508_-|52647376_52647696_-|52646772_52647012_-|52646217_52646304_-|52645313_52645405_-|52641535_52641705_-|52640507_52640566_-|52640057_52640191_-|52635376_52635488_-|52635003_52635099_-|52633433_52633536_-|52631818_52631872_-|52620696_52620795_-|52620057_52620136_-|52619112_52619188_-|52616732_52616805_-|52608466_52608546_-|52608166_52608254_-|52607054_52607182_-|52605762_52605866_-|52602731_52602812_-|52599934_52601237_-|52599490_52599557_-|52593689_52593836_-|52592957_52593043_-|52591726_52591944_-|52590705_52590835_-|52589401_52589443_-|52585848_52585981_-|52574443_52574503_-|52573836_52573982_-|52573167_52573301_-|52572129_52572285_-|52570385_52570449_-|52568907_52569007_-|52568119_52568170_-|52566079_52566174_-
30273at8509	Single	ptg000038l	43852141	44011833	-	23910	4851	0.9483	1.0	0	30273at8509_933632_0:000130	44011548_44011833_-|44002275_44002456_-|44000834_44000971_-|43999988_44000181_-|43998416_43998527_-|43996048_43996130_-|43994638_43994860_-|43994393_43994553_-|43993680_43993738_-|43991459_43992853_-|43987008_43987157_-|43986315_43986540_-|43985307_43985467_-|43984568_43984696_-|43982334_43982465_-|43981941_43982119_-|43981205_43981335_-|43972582_43972743_-|43972341_43972472_-|43971935_43972032_-|43970710_43970857_-|43969283_43969416_-|43967959_43968105_-|43962840_43963027_-|43961266_43961580_-|43960769_43960868_-|43959500_43959714_-|43959137_43959345_-|43958579_43958925_-|43955202_43955421_-|43954652_43954785_-|43954103_43954240_-|43950490_43950617_-|43949724_43949855_-|43948399_43948614_-|43947239_43947422_-|43946081_43946236_-|43944015_43944148_-|43942695_43942848_-|43942046_43942162_-|43941296_43941450_-|43940225_43940351_-|43937809_43937919_-|43936235_43936368_-|43935805_43935932_-|43932357_43932919_-|43930781_43930956_-|43930121_43930217_-|43929529_43929723_-|43927283_43927483_-|43925888_43926167_-|43924520_43924776_-|43924120_43924228_-|43921581_43921802_-|43919036_43919816_-|43918330_43918473_-|43914464_43914593_-|43913451_43913582_-|43910860_43911027_-|43909755_43909928_-|43905747_43905943_-|43902704_43903004_-|43899337_43899554_-|43897501_43897665_-|43896901_43897069_-|43866850_43867060_-|43863459_43863604_-|43862648_43862758_-|43861474_43861691_-|43860793_43860954_-|43859916_43859993_-|43859061_43859249_-|43853787_43853921_-|43852139_43852318_-
30740at8509	Single	ptg000290l	650722	692693	+	24273	4848	0.9588	1.0	0	30740at8509_103944_0:000eb2	650723_651652_+|652411_652506_+|653190_653384_+|653491_653802_+|653989_654085_+|654239_654382_+|655014_655141_+|655667_655811_+|655896_656071_+|657042_657172_+|657587_657752_+|657968_658093_+|658371_658592_+|659019_659171_+|659369_659501_+|659952_660143_+|660262_660483_+|661069_661242_+|661701_661819_+|661912_662025_+|662335_662506_+|662642_662951_+|663411_663531_+|663777_663828_+|666264_666532_+|667109_667324_+|667449_667569_+|667707_667944_+|668347_668537_+|668729_668884_+|669049_669155_+|669617_669727_+|669809_669985_+|670333_670572_+|670934_671017_+|671507_672018_+|672606_673372_+|674073_674271_+|674373_674533_+|674637_674753_+|675135_675366_+|675541_675665_+|676328_676548_+|677543_677811_+|678552_678604_+|678704_678904_+|679319_679493_+|679584_679854_+|680186_680399_+|680520_680725_+|681032_681159_+|681487_681614_+|682158_682358_+|682523_682653_+|682849_683048_+|683629_683743_+|684027_684173_+|684391_684492_+|684597_684770_+|685157_685450_+|685735_685800_+|685875_686000_+|686164_686302_+|686622_686803_+|686965_687120_+|687256_687378_+|687840_687942_+|688055_688224_+|688305_688443_+|688673_688842_+|689296_689465_+|689560_689725_+|690515_690591_+|690954_691206_+|691445_691597_+|691800_692105_+|692511_692696_+
20966at8509	Single	ptg000039l	15955133	16075342	-	24191	4833	0.9527	1.0	0	20966at8509_103695_0:002207	16075271_16075342_-|16055122_16055236_-|16053580_16053717_-|16050189_16050408_-|16049378_16049478_-|16049086_16049242_-|16048148_16048258_-|16047802_16047973_-|16046888_16047061_-|16046218_16046406_-|16044557_16044708_-|16043120_16043277_-|16042137_16042250_-|16041159_16041410_-|16039555_16039748_-|16037633_16037833_-|16036915_16037143_-|16036701_16036825_-|16035358_16035536_-|16034103_16034284_-|16033323_16033478_-|16032820_16033005_-|16032071_16032241_-|16031873_16031976_-|16030054_16030204_-|16029251_16029465_-|16028195_16028327_-|16027053_16027180_-|16026764_16026959_-|16026232_16026368_-|16025272_16025445_-|16025051_16025187_-|16024300_16024451_-|16023532_16023723_-|16023159_16023346_-|16022799_16022991_-|16021798_16021980_-|16020628_16020812_-|16018047_16018194_-|16017736_16017932_-|16017246_16017476_-|16016619_16016754_-|16015278_16015421_-|16010626_16010768_-|16009212_16009479_-|16008841_16008983_-|16008595_16008687_-|16005988_16006156_-|16005764_16005889_-|16003263_16003371_-|16002911_16003050_-|16002419_16002609_-|16002038_16002143_-|16001824_16001915_-|16000047_16000222_-|15997354_15997465_-|15994636_15994717_-|15994374_15994517_-|15992871_15992961_-|15992316_15992493_-|15991804_15991885_-|15989975_15990146_-|15989140_15989284_-|15988252_15988477_-|15987738_15987909_-|15986928_15987114_-|15986345_15986485_-|15985149_15985340_-|15979215_15979368_-|15978532_15978639_-|15977819_15977950_-|15977239_15977397_-|15977032_15977150_-|15976455_15976580_-|15975829_15975984_-|15975432_15975547_-|15975120_15975318_-|15973827_15974041_-|15972944_15973121_-|15971895_15972056_-|15970782_15970873_-|15970325_15970464_-|15968688_15968875_-|15967967_15968164_-|15967599_15967682_-|15965905_15966046_-|15964741_15964935_-|15964526_15964638_-|15959231_15959421_-|15958776_15958881_-|15956725_15956937_-|15955131_15955403_-
